year,stockid,bv_bmsy,year_max,fao_area,region_fao,region_fao_split,n_regions
2015,PSOLEPCOAST,1.23073246504959,2015,67;77,67;77,77,2
2014,PTOOTHFISHCH,0.34,2014,41;87,41;87,41,2
2014,PTOOTHFISHCH,0.34,2014,41;87,41;87,87,2
2010,PTOOTHFISHMI,2.29962504613623,2010,81,81,81,1
2015,PTOOTHFISHPEI,2.36,2015,51;58,51;58,51,2
2015,PTOOTHFISHPEI,2.36,2015,51;58,51;58,58,2
2011,QUAHATLC,1.71098265895954,2011,21;31,21;31,21,2
2011,QUAHATLC,1.71098265895954,2011,21;31,21;31,31,2
2013,RBRMECS,0.0985860533443511,2013,61,61,61,1
2013,RBRMSETOE,0.101498308361527,2013,61,61,61,1
2013,RBRMSETOW,0.27288294757775,2013,61,61,61,1
2016,REDFEAUS,0.170430009857304,2016,57,57,57,1
2013,REDFISHSPP3LN,1.31,2013,21,21,21,1
2014,REYEROCKBSAI,0.699609100932144,2014,61;67,61;67,61,2
2014,REYEROCKBSAI,0.699609100932144,2014,61;67,61;67,67,2
2009,REYEROCKGA,1.54847396768402,2009,67,67,67,1
2013,RGROUPGM,1.18775510204082,2013,31,31,31,1
2008,RGROUPSATL,0.790895061728395,2008,31,31,31,1
2013,RHERRTSST,0.897215814602221,2013,61,61,61,1
2015,RKCRABBB,3.29885057471264,2015,67,67,67,1
2008,RKCRABNS,1.47098815792727,2008,67,67,67,1
2009,RKCRABPI,1.44344226612799,2009,67,67,67,1
2015,RNGENVb-VI-VII-XIIb,0.581,2015,27,27,27,1
2012,RPORGYSATLC,0.470378845664887,2012,31,31,31,1
2013,RSFLOUNSOJ,0.516971279373368,2013,61,61,61,1
2013,RSNAPGM,0.5390625,2013,31,31,31,1
