iso3,year,isscaap_group,value
ALB,2007,"Tunas, bonitos, billfishes",39
ALB,2008,"Clams, cockles, arkshells",0
ALB,2008,"Cods, hakes, haddocks",290
ALB,2008,Corals,1
ALB,2008,"Flounders, halibuts, soles",116
ALB,2008,"Herrings, sardines, anchovies",125
ALB,2008,"Lobsters, spiny-rock lobsters",4
ALB,2008,Marine fishes not identified,852
ALB,2008,Miscellaneous coastal fishes,781
ALB,2008,Miscellaneous demersal fishes,118
ALB,2008,Miscellaneous pelagic fishes,280
ALB,2008,River eels,5
ALB,2008,"Sharks, rays, chimaeras",133
ALB,2008,"Shrimps, prawns",210
ALB,2008,"Squids, cuttlefishes, octopuses",251
ALB,2008,"Tunas, bonitos, billfishes",55
ALB,2009,"Clams, cockles, arkshells",0
ALB,2009,"Cods, hakes, haddocks",346
ALB,2009,Corals,1
ALB,2009,"Flounders, halibuts, soles",126
ALB,2009,"Herrings, sardines, anchovies",130
ALB,2009,"Lobsters, spiny-rock lobsters",1
ALB,2009,Marine fishes not identified,980
ALB,2009,Miscellaneous coastal fishes,735
ALB,2009,Miscellaneous demersal fishes,138
ALB,2009,Miscellaneous pelagic fishes,305
ALB,2009,River eels,4
ALB,2009,"Sharks, rays, chimaeras",134
ALB,2009,"Shrimps, prawns",282
ALB,2009,"Squids, cuttlefishes, octopuses",295
ALB,2009,"Tunas, bonitos, billfishes",83
ALB,2010,"Clams, cockles, arkshells",0
ALB,2010,"Cods, hakes, haddocks",280
ALB,2010,Corals,1.2
ALB,2010,"Flounders, halibuts, soles",169
ALB,2010,"Herrings, sardines, anchovies",113
ALB,2010,"Lobsters, spiny-rock lobsters",0
ALB,2010,Marine fishes not identified,880
ALB,2010,Miscellaneous coastal fishes,845
ALB,2010,Miscellaneous demersal fishes,16
ALB,2010,Miscellaneous pelagic fishes,215
ALB,2010,River eels,4
ALB,2010,"Sharks, rays, chimaeras",125
ALB,2010,"Shrimps, prawns",235
ALB,2010,"Squids, cuttlefishes, octopuses",209
ALB,2010,"Tunas, bonitos, billfishes",40
ALB,2011,"Clams, cockles, arkshells",0
ALB,2011,"Cods, hakes, haddocks",286
ALB,2011,Corals,1.2
ALB,2011,"Flounders, halibuts, soles",89
ALB,2011,"Herrings, sardines, anchovies",134
ALB,2011,"Lobsters, spiny-rock lobsters",2
ALB,2011,Marine fishes not identified,1019
ALB,2011,Miscellaneous coastal fishes,539
ALB,2011,Miscellaneous demersal fishes,97
ALB,2011,Miscellaneous pelagic fishes,241
ALB,2011,River eels,3
ALB,2011,"Sharks, rays, chimaeras",96
ALB,2011,"Shrimps, prawns",218
