iso3,year,value,variable,units,source
TZA,1995,62593,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,1995,288000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,1995,41558,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,1995,415000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
AGO,2000,39175,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2000,13200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2000,1320480,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,2000,580000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2000,49927,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2000,50873,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2000,9213340,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2000,41600,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
COD,2000,108400,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2000,4358,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2000,4611,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,2000,38500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2000,37300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2000,46189,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2000,118560,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2000,19080,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2000,2357,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2000,15649,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GHA,2000,291360,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2000,1294,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2000,3104861,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2000,6800000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2000,9592,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2000,124108,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2000,6100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2000,260200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KHM,2000,132641,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2000,99792,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2000,150150,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2000,106096,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2000,244131,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2000,2646710,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2000,103000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MRT,2000,32544,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2000,87000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2000,9000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2000,1177308,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2000,3450,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2000,20072,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2000,1928,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2000,35811,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2000,272273,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PER,2000,87524,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PHL,2000,1497000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PNG,2000,16000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2000,9197,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PRK,2000,119260,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2000,315000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2000,55547,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SLE,2000,24000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2000,2783,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
THA,2000,157232,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2000,50000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2000,216501,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2000,92529,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2000,57512,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2000,286000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2000,41558,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,2000,555800,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ZAF,2000,16800,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2005,15549,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2005,1320480,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,2005,661100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2005,49150,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2005,57013,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2005,8389161,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2005,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
COD,2005,136765,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2005,3727,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2005,3241,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,2005,69769,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2005,37000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2005,39595,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2005,75731,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2005,2478,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2005,12647,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2005,1403,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2005,2590364,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2005,9231996,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2005,5973,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2005,147773,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2005,5100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2005,222170,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KHM,2005,97238,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2005,101115,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2005,156500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2005,105701,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2005,255527,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2005,2794000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2005,127200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2005,95000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2005,11000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2005,1259040,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2005,14554,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2005,1627,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2005,35811,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2005,311264,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PER,2005,86755,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PHL,2005,1901000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PNG,2005,16000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2005,4770,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2005,280100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2005,57524,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SLE,2005,54100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2005,1897,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
THA,2005,187300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2005,98787,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2005,246580,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2005,133282,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2005,60313,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2005,284000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2005,41558,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,2005,580000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2010,15271,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2010,1506064,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,2010,853229,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2010,49526,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2010,81157,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2010,9013173,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2010,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2010,2889,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2010,1528,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,2010,129405,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2010,37600,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2010,39281,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2010,86914,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2010,14457,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2010,1769,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2010,12703,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2010,1111,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2010,2620277,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2010,9632192,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2010,4579,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2010,151025,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2010,5300,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2010,202880,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KHM,2010,673963,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2010,80538,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2010,230560,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2010,107296,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2010,240855,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2010,2948555,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2010,162200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2010,129622,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2010,26610,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2010,1519627,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2010,2832,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2010,12993,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2010,1426,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2010,37758,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2010,366862,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PER,2010,94000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PHL,2010,1907435,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PNG,2010,15800,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2010,4124,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2010,190000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2010,68299,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SLE,2010,69500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2010,1641,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
THA,2010,155000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2010,54172,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2010,246659,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2010,179027,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2010,91402,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2010,282000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2010,31214,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,2010,650000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2011,25650,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2011,1506064,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,2011,875669,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2011,49609,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2011,85268,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2011,9294988,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2011,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2011,2684,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2011,1460,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2011,37000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2011,35808,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2011,84463,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2011,14273,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2011,1662,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2011,12405,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2011,1111,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2011,2755178,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2011,8397613,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2011,6266,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2011,151326,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2011,5200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2011,177870,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KHM,2011,657269,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,2011,73918,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2011,246750,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2011,104483,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,2011,222744,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,2011,2952800,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MOZ,2011,169620,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,2011,134110,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NAM,2011,25447,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,2011,1533112,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,2011,2837,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,2011,12768,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NZL,2011,1780,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,2011,41569,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,2011,361510,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PHL,2011,1907435,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,2011,4289,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,2011,165000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,2011,69311,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,2011,1668,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
THA,2011,160000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,2011,45204,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,2011,248838,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TZA,2011,177565,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
UGA,2011,103417,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
USA,2011,186726,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VEN,2011,66241,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
VNM,2011,500000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
AGO,2012,100983,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,2012,21268,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,2012,1506064,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,2012,877000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,2012,43250,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,2012,88893,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,2012,9226177,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,2012,240728,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
COD,2012,367005,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,2012,2684,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,2012,1942,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,2012,148178,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,2012,37200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,2012,34399,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,2012,83483,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,2012,14273,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,2012,1585,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,2012,12445,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GHA,2012,253826,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,2012,1111,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,2012,2748908,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,2012,8777999,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,2012,6284,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,2012,151773,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,2012,7900,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,2012,173660,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
LKA,2012,244390,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,2012,114185,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
