Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2046,biomass,Total,atlantic,121196540.61238112,128379212.15478843,0.059264658100922366,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2047,biomass,Total,atlantic,121195587.53665192,128392404.84993173,0.05938184268551319,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2048,biomass,Total,atlantic,121194807.86859423,128403892.93477818,0.059483448119332163,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2049,biomass,Total,atlantic,121194174.04665166,128414019.16960737,0.05957254282022296,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2050,biomass,Total,atlantic,121193661.56766857,128423056.88882013,0.0596515958643185,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2051,biomass,Total,atlantic,121193249.14470516,128431224.06449507,0.05972259157065542,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2052,biomass,Total,atlantic,121192918.60567842,128438694.52334881,0.059787122886657565,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2053,biomass,Total,atlantic,121192654.64933646,128445606.89140181,0.05984646728839573,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2054,biomass,Total,atlantic,121192444.53393683,128452071.72581092,0.059901648322979534,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2055,biomass,Total,atlantic,121192277.74589486,128458177.20097707,0.05995348540537126,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2056,biomass,Total,atlantic,121192145.67671797,128463993.64197534,0.06000263403748251,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2057,biomass,Total,atlantic,121192041.32397932,128469577.1390795,0.06004961823891838,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2058,biomass,Total,atlantic,121191959.02393392,128474972.42978814,0.06009485665972212,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2059,biomass,Total,atlantic,121191894.21825045,128480215.19694634,0.06013868357871022,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2060,biomass,Total,atlantic,121191843.25424072,128485333.90139668,0.060181365769438805,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2061,biomass,Total,atlantic,121191803.21623218,128490351.24354747,0.06022311603279896,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2062,biomass,Total,atlantic,121191771.78487301,128495285.32908182,0.060264104044730406,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2063,biomass,Total,atlantic,121191747.1208599,128500150.5987602,0.06030446504424022,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2064,biomass,Total,atlantic,121191727.7696166,128504958.57010232,0.06034430678625229,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2065,biomass,Total,atlantic,121191712.58368033,128509718.42903994,0.06038371510186127,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2066,biomass,Total,atlantic,121191700.65987846,128514437.50190769,0.060422758342011475,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2067,biomass,Total,atlantic,121191691.28873849,128519121.63198428,0.06046149092670247,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2068,biomass,Total,atlantic,121191683.91393381,128523775.47989093,0.06049995617821528,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2069,biomass,Total,atlantic,121191678.09990585,128528402.76324481,0.060538188581651955,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2070,biomass,Total,atlantic,121191673.50610736,128533006.4478476,0.06057621558770111,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2071,biomass,Total,atlantic,121191669.86657995,128537588.90020576,0.06061405904970979,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2072,biomass,Total,atlantic,121191666.97380829,128542152.00919724,0.060651736368784494,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2073,biomass,Total,atlantic,121191664.6659905,128546697.28311935,0.06068926140588661,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2074,biomass,Total,atlantic,121191662.81702569,128551225.9270928,0.060726645208082755,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2075,biomass,Total,atlantic,121191661.32865654,128555738.90479098,0.06076389658661408,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2076,biomass,Total,atlantic,121191660.12431592,128560236.9876627,0.06080102257686915,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2077,biomass,Total,atlantic,121191659.14431636,128564720.7941754,0.060838028804268765,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2078,biomass,Total,atlantic,121191658.34209621,128569190.8210971,0.06087491977521932,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2079,biomass,Total,atlantic,121191657.68129458,128573647.46842627,0.06091169910840386,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2080,biomass,Total,atlantic,121191657.13347508,128578091.0592545,0.060948369718588205,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2020,price,Total,atlantic,1330.0261372897337,1350.4913619342146,0.015387084562250812,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2021,price,Total,atlantic,1315.5063970588083,1346.8396219524739,0.023818375162386142,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2022,price,Total,atlantic,1305.0641083097948,1341.5971313565917,0.02799327850193601,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2023,price,Total,atlantic,1297.5757691317099,1336.0205070215127,0.029628125620385633,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2024,price,Total,atlantic,1292.224330645483,1330.7350826095048,0.02980190904220575,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2025,price,Total,atlantic,1288.415697218823,1326.0166776632263,0.02918388880667081,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2026,price,Total,atlantic,1285.7181791838084,1321.9522548907698,0.02818197354101607,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2027,price,Total,atlantic,1283.8184676023197,1318.5312666164582,0.027038712941221857,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2028,price,Total,atlantic,1282.4895525936324,1315.6970733454214,0.025893014632853713,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2029,price,Total,atlantic,1281.5673084700893,1313.3753079292126,0.024819608965443298,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2030,price,Total,atlantic,1280.9333882821104,1311.488962588027,0.02385414775306583,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2031,price,Total,atlantic,1280.502723412004,1309.9658955623302,0.023009066370291854,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2032,price,Total,atlantic,1280.2143905647815,1308.742082651019,0.02228352711583891,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2033,price,Total,atlantic,1280.024944070167,1307.7625499441367,0.021669582301865793,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2034,price,Total,atlantic,1279.9035540495959,1306.9811067889684,0.02115593214324593,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2035,price,Total,atlantic,1279.8284673283622,1306.359516471838,0.02073016019002874,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2036,price,Total,atlantic,1279.7844366489867,1305.8664589934394,0.02038001213137616,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2037,price,Total,atlantic,1279.760857957346,1305.476474981497,0.020094079971469257,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2038,price,Total,atlantic,1279.7504246864717,1305.1689844130235,0.01986212251719251,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2039,price,Total,atlantic,1279.748158803547,1304.9274199194697,0.019675168854677638,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2040,price,Total,atlantic,1279.7507157958178,1304.7384849886296,0.019525497336622368,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2041,price,Total,atlantic,1279.7558883047786,1304.5915321664972,0.019406547833600518,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2042,price,Total,atlantic,1279.7622533754077,1304.4780493159155,0.019312802729818977,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2043,price,Total,atlantic,1279.7689231787865,1304.3912394932197,0.01923965793236675,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2044,price,Total,atlantic,1279.77536999966,1304.3256799330582,0.01918329615407801,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2045,price,Total,atlantic,1279.7813042944915,1304.277046752874,0.019140569077062953,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2046,price,Total,atlantic,1279.786590488377,1304.2418936039908,0.01910889151157729,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2047,price,Total,atlantic,1279.7911894585413,1304.217474224869,0.019086148558861378,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2048,price,Total,atlantic,1279.7951197678244,1304.2016004980037,0.019070615564315493,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2049,price,Total,atlantic,1279.7984319735547,1304.1925290860622,0.019060889983190433,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2050,price,Total,atlantic,1279.8011919742703,1304.1888709950913,0.019055833963710904,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2051,price,Total,atlantic,1279.803470537423,1304.18951948458,0.019054526346077662,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2052,price,Total,atlantic,1279.8053369994109,1304.193592632489,0.019056222792646016,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2053,price,Total,atlantic,1279.8068557360682,1304.2003875910464,0.019060322849222797,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2054,price,Total,atlantic,1279.8080844336714,1304.2093441601862,0.01906634285507942,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2055,price,Total,atlantic,1279.8090734963475,1304.2200157826783,0.019073893748574367,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2056,price,Total,atlantic,1279.8098661409263,1304.232046448498,0.01908266294368648,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2057,price,Total,atlantic,1279.8104988805646,1304.2451523031966,0.01909239957322173,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2058,price,Total,atlantic,1279.811002202549,1304.259107000509,0.019102902503482885,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2059,price,Total,atlantic,1279.8114013170236,1304.2737300352778,0.01911401062147171,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2060,price,Total,atlantic,1279.8117169016905,1304.288877448807,0.019125594979215746,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2061,price,Total,atlantic,1279.8119657997217,1304.3044344229786,0.01913755245127134,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2062,price,Total,atlantic,1279.8121616491353,1304.3203093782968,0.019149800621976316,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2063,price,Total,atlantic,1279.812315435269,1304.3364292696558,0.019162273669827916,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2064,price,Total,atlantic,1279.8124359661251,1304.3527358361428,0.019174919058738683,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2065,price,Total,atlantic,1279.8125302750843,1304.3691826109152,0.01918769488102501,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2066,price,Total,atlantic,1279.8126039578895,1304.385732536746,0.019200567725980208,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2067,price,Total,atlantic,1279.8126614518008,1304.4023560642838,0.019213510971667434,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2068,price,Total,atlantic,1279.812706264898,1304.4190296351094,0.01922650341706978,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2069,price,Total,atlantic,1279.8127411630908,1304.4357344715777,0.019239528187623443,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
