iso3,year,isscaap_group,variable,units,source,value
AGO,2002,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),5932
AGO,2002,"Shrimps, prawns",capture_production,tonnes,FAO (2019),3811
AGO,2002,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),2768
AGO,2002,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),435
AGO,2003,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),1457
AGO,2003,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1111
AGO,2003,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),3069
AGO,2003,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),44955
AGO,2003,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),655
AGO,2003,Marine fishes not identified,capture_production,tonnes,FAO (2019),20467
AGO,2003,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),69740
AGO,2003,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),11019
AGO,2003,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),38818
AGO,2003,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3079
AGO,2003,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2703
AGO,2003,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),2096
AGO,2003,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),2864
AGO,2004,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),1799
AGO,2004,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1596
AGO,2004,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),10923
AGO,2004,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),58569
AGO,2004,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),783
AGO,2004,Marine fishes not identified,capture_production,tonnes,FAO (2019),34510
AGO,2004,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),68260
AGO,2004,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),2792
AGO,2004,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),42864
AGO,2004,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),3622
AGO,2004,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1677
AGO,2004,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1757
AGO,2004,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),850
AGO,2005,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),1600
AGO,2005,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),900
