Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2075,biomass,Total,atlantic,120953879.08033448,127745780.93704873,0.05615282377345865,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2076,biomass,Total,atlantic,120953879.07251966,127745787.99793556,0.056152882218384374,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2077,biomass,Total,atlantic,120953879.06172684,127745794.17147493,0.05615293335306718,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2078,biomass,Total,atlantic,120953879.04901905,127745799.56534547,0.056152978058470096,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2079,biomass,Total,atlantic,120953879.03526188,127745804.2752778,0.056153017118498925,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2080,biomass,Total,atlantic,120953879.02112794,127745808.38605763,0.056153051228256125,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2019,price,Total,atlantic,1350.1688088039182,1350.1688088039182,0,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2020,price,Total,atlantic,1329.6740333850037,1355.3459106717225,0.01930689525564771,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2021,price,Total,atlantic,1314.7455107603707,1353.104009858549,0.02917560758659219,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2022,price,Total,atlantic,1303.9655785817738,1347.3579383142533,0.03327722790019818,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
