Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2035,price,Total,atlantic,1279.0878579072985,1281.2970453892754,0.0017271585124662948,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2036,price,Total,atlantic,1279.0743952780074,1281.2669936348855,0.0017142070586140669,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2037,price,Total,atlantic,1279.0729353434228,1281.2566308857163,0.001707248650138256,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2038,price,Total,atlantic,1279.0778552998788,1281.2580596916844,0.0017045126555602817,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2039,price,Total,atlantic,1279.085682523872,1281.2660983486173,0.0017046675250425236,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2040,price,Total,atlantic,1279.094360044256,1281.2774323570109,0.0017067328110799186,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2041,price,Total,atlantic,1279.1027434708699,1281.2900109052055,0.0017100013626742672,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2042,price,Total,atlantic,1279.1102612773393,1281.3026229821305,0.0017139739795394057,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2043,price,Total,atlantic,1279.1166890768536,1281.3146036133683,0.0017183065120516046,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2044,price,Total,atlantic,1279.1220024843235,1281.3256332380633,0.0017227682343513213,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2045,price,Total,atlantic,1279.1262834365612,1281.3356029442953,0.0017272098434240955,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2046,price,Total,atlantic,1279.1296623328367,1281.3445256783775,0.0017315393511408656,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2047,price,Total,atlantic,1279.1322837602393,1281.352479107217,0.001735704254489712,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2048,price,Total,atlantic,1279.1342874232037,1281.3595699431155,0.0017396785793262104,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2049,price,Total,atlantic,1279.1357986176176,1281.3659125689776,0.0017434536299977478,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2050,price,Total,atlantic,1279.136924488938,1281.371616996187,0.0017470315057490084,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2051,price,Total,atlantic,1279.1377536229454,1281.3767827584127,0.0017504206479134748,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2052,price,Total,atlantic,1279.1383574083902,1281.3814964557878,0.001753632853245285,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2053,price,Total,atlantic,1279.1387922075146,1281.385831439977,0.0017566813282118392,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2054,price,Total,atlantic,1279.139101763378,1281.3898486653495,0.0017595794694015066,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2055,price,Total,atlantic,1279.1393195262074,1281.3935980944254,0.0017623401405978615,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2056,price,Total,atlantic,1279.139470740001,1281.397120287975,0.001764975281911998,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2057,price,Total,atlantic,1279.1395742269972,1281.4004479685889,0.0017674957347465182,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2058,price,Total,atlantic,1279.1396438631316,1281.403607447641,0.0017699112019325613,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2059,price,Total,atlantic,1279.1396897671414,1281.4066198680744,0.0017722302881131573,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2060,price,Total,atlantic,1279.1397192394495,1281.4095022524189,0.0017744605838046546,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2061,price,Total,atlantic,1279.1397374908875,1281.4122683658784,0.0017766087694598917,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2062,price,Total,atlantic,1279.1397482000102,1281.4149294143785,0.001778680724737026,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2063,price,Total,atlantic,1279.139753933734,1281.417494601172,0.0017806816342258013,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2064,price,Total,atlantic,1279.1397564610143,1281.4199715656698,0.0017826160848633198,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2065,price,Total,atlantic,1279.13975698414,1281.4223667263147,0.0017844881528478122,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2066,price,Total,atlantic,1279.1397563074413,1281.4246855465785,0.0017863014794671462,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2067,price,Total,atlantic,1279.1397549590492,1281.4269327401944,0.001788059336189085,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2068,price,Total,atlantic,1279.1397532778426,1281.4291124288898,0.0017897646798800508,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2069,price,Total,atlantic,1279.1397514748655,1281.4312282633177,0.0017914201992472651,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2070,price,Total,atlantic,1279.1397496762227,1281.433283515684,0.0017930283536587014,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2071,price,Total,atlantic,1279.1397479526713,1281.4352811507317,0.00179459140546178,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2072,price,Total,atlantic,1279.1397463397725,1281.4372238802541,0.0017961114468186914,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2073,price,Total,atlantic,1279.139744851401,1281.4391142051109,0.0017975904219729763,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2074,price,Total,atlantic,1279.1397434886517,1281.4409544477828,0.0017990301457250875,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
