Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2032,biomass,Total,atlantic,120976361.88391356,125485790.41721985,0.03727528637068323,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2033,biomass,Total,atlantic,120978679.07409057,125570359.07462387,0.037954456402365166,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2034,biomass,Total,atlantic,120977878.00104253,125630602.62353161,0.038459300984341825,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2035,biomass,Total,atlantic,120975494.16784057,125673086.08609468,0.038830938038878354,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2036,biomass,Total,atlantic,120972468.62966588,125702732.40836556,0.039101986032710305,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2037,biomass,Total,atlantic,120969351.2213825,125723191.76343362,0.03929789235085882,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2038,biomass,Total,atlantic,120966440.03313777,125737142.10075374,0.039438228208659165,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2039,biomass,Total,atlantic,120963875.73474649,125746528.20533866,0.039537857410254666,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2040,biomass,Total,atlantic,120961704.3042505,125752748.36805323,0.03960794113608054,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2041,biomass,Total,atlantic,120959917.92200547,125756797.90749098,0.03965677282104738,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2042,biomass,Total,atlantic,120958480.97985429,125759378.04369171,0.039690454319090004,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2043,biomass,Total,atlantic,120957346.09711383,125760977.50087138,0.03971343253431518,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2044,biomass,Total,atlantic,120956463.54618217,125761932.9971237,0.039728918240956715,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2045,biomass,Total,atlantic,120955786.42498048,125762473.61791876,0.03973920830914112,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2046,biomass,Total,atlantic,120955273.15906411,125762753.04037166,0.039745930505943224,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2047,biomass,Total,atlantic,120954888.38813385,125762872.70235112,0.039750227364014096,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2048,biomass,Total,atlantic,120954602.92637166,125762898.29386982,0.03975289283058619,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2049,biomass,Total,atlantic,120954393.2366235,125762871.37385924,0.03975447281049894,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2050,biomass,Total,atlantic,120954240.69069134,125762817.46386686,0.03975533842978018,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2051,biomass,Total,atlantic,120954130.77708817,125762751.62078553,0.039755738913616716,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2052,biomass,Total,atlantic,120954052.34581333,125762682.22401792,0.03975583938648442,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2053,biomass,Total,atlantic,120953996.9344446,125762613.51138222,0.039755747629768856,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2054,biomass,Total,atlantic,120953958.19230402,125762547.24812536,0.03975553282990703,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2055,biomass,Total,atlantic,120953931.40353267,125762483.80277908,0.03975523857264194,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2056,biomass,Total,atlantic,120953913.10142815,125762422.82278836,0.03975489174399791,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2057,biomass,Total,atlantic,120953900.76254046,125762363.6443991,0.039754508548663796,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2058,biomass,Total,atlantic,120953892.56792621,125762305.52944627,0.03975409851997707,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2059,biomass,Total,atlantic,120953887.21941078,125762247.79202016,0.03975366714661263,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2060,biomass,Total,atlantic,120953883.79993969,125762189.85718879,0.039753217558537765,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2061,biomass,Total,atlantic,120953881.66864486,125762131.2795305,0.03975275158227591,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2062,biomass,Total,atlantic,120953880.38283303,125762071.7393557,0.03975227038028199,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2063,biomass,Total,atlantic,120953879.64057735,125762011.02782863,0.039751774821435874,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2064,biomass,Total,atlantic,120953879.23888859,125761949.0277684,0.039751265681885965,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2065,biomass,Total,atlantic,120953879.04353744,125761885.69402182,0.03975074374219729,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2066,biomass,Total,atlantic,120953878.9674992,125761821.03546247,0.03975020982382207,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2067,biomass,Total,atlantic,120953878.9557163,125761755.09953713,0.0397496647923222,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2068,biomass,Total,atlantic,120953878.97444314,125761687.95961024,0.03974910954433271,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2069,biomass,Total,atlantic,120953879.00388306,125761619.70498678,0.03974854498837008,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2070,biomass,Total,atlantic,120953879.0331654,125761550.43331087,0.039747972025165175,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2071,biomass,Total,atlantic,120953879.05696902,125761480.24496755,0.03974739153040444,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2072,biomass,Total,atlantic,120953879.07329106,125761409.23911227,0.0397468043410838,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2073,biomass,Total,atlantic,120953879.08200254,125761337.51098229,0.03974621124569692,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2074,biomass,Total,atlantic,120953879.08393691,125761265.15019087,0.03974561297796688,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2075,biomass,Total,atlantic,120953879.08033448,125761192.2397551,0.03974501021358492,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2076,biomass,Total,atlantic,120953879.07251966,125761118.85565683,0.03974440356935491,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2077,biomass,Total,atlantic,120953879.06172684,125761045.06677902,0.03974379360416312,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2078,biomass,Total,atlantic,120953879.04901905,125760970.93509588,0.039743180821250466,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2079,biomass,Total,atlantic,120953879.03526188,125760896.51602635,0.03974256567135863,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2080,biomass,Total,atlantic,120953879.02112794,125760821.85888375,0.039741948556409244,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2019,price,Total,atlantic,1350.1688088039182,1350.1688088039182,0,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2020,price,Total,atlantic,1329.6740333850037,1347.5338687068163,0.013431739564279628,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2021,price,Total,atlantic,1314.7455107603707,1341.4744429392395,0.020330118612392364,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2022,price,Total,atlantic,1303.9655785817738,1334.2364518322331,0.023214472642278404,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2023,price,Total,atlantic,1296.2507413836397,1327.0459563575764,0.0237571435763002,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2024,price,Total,atlantic,1290.78125794242,1320.512034710533,0.023033164283393394,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2025,price,Total,atlantic,1286.9425652702014,1314.882674676699,0.021710455587139157,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2026,price,Total,atlantic,1284.2778974053672,1310.203758440823,0.020187111440470983,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2027,price,Total,atlantic,1282.4506536273727,1306.4157989248536,0.01868699215029923,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2028,price,Total,atlantic,1281.2149105618155,1303.411364831401,0.017324536333917867,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2029,price,Total,atlantic,1280.3925713865397,1301.068016332271,0.016147738910529574,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2030,price,Total,atlantic,1279.85583380702,1299.266200348974,0.015166057011449961,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2031,price,Total,atlantic,1279.5138646955659,1297.8980761773998,0.014368122135361245,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2032,price,Total,atlantic,1279.302764244311,1296.8710155687686,0.0137326767482092,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2033,price,Total,atlantic,1279.1780756286246,1296.10810350352,0.013235082900068827,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2034,price,Total,atlantic,1279.1092448245126,1295.547065689806,0.012850990587241474,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2035,price,Total,atlantic,1279.0755599853358,1295.1384790806558,0.012558225329162077,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2036,price,Total,atlantic,1279.063202657941,1294.843763080962,0.0123375923802892,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2037,price,Total,atlantic,1279.0631266485398,1294.6332255675168,0.01217304962873451,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2038,price,Total,atlantic,1279.0695472220277,1294.4843007456532,0.012051536647951852,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2039,price,Total,atlantic,1279.0788761548292,1294.3800339469487,0.01196263817452595,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2040,price,Total,atlantic,1279.0889793910571,1294.3078215264259,0.011898188773867826,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2041,price,Total,atlantic,1279.0986658476356,1294.258388948036,0.011851879378166964,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2042,price,Total,atlantic,1279.1073401615542,1294.2249784722503,0.01181889731692625,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2043,price,Total,atlantic,1279.114770466633,1294.2027141155552,0.011795613651946157,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2044,price,Total,atlantic,1279.1209359482516,1294.1881122579484,0.011779321162097213,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2045,price,Total,atlantic,1279.1259290239607,1294.1787092535335,0.011768020558428417,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2046,price,Total,atlantic,1279.1298943910729,1294.1727813261198,0.01176024968301444,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2047,price,Total,atlantic,1279.1329925413943,1294.169136133853,0.011754949391606885,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2048,price,Total,atlantic,1279.135379189332,1294.1669592438973,0.011751359784991375,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2049,price,Total,atlantic,1279.137194791688,1294.1657021690462,0.011748940956881216,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2050,price,Total,atlantic,1279.1385602573391,1294.1650015134508,0.011747313170739373,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2051,price,Total,atlantic,1279.139576278718,1294.1646211602697,0.011746212188401332,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2052,price,Total,atlantic,1279.1403246318105,1294.1644113548189,0.011745456251903362,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2053,price,Total,atlantic,1279.1408704100472,1294.1642800546633,0.011744921917630638,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2054,price,Total,atlantic,1279.1412645689877,1294.1641730986953,0.011744526539662238,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2055,price,Total,atlantic,1279.1415464271204,1294.164060653036,0.01174421569518729,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2056,price,Total,atlantic,1279.1417459389513,1294.1639280780203,0.011743954246479497,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2057,price,Total,atlantic,1279.1418856618754,1294.163769874889,0.011743720052792098,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2058,price,Total,atlantic,1279.1419824003808,1294.163585752168,0.011743499594625425,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2059,price,Total,atlantic,1279.1420485452888,1294.1633781316389,0.011743284964662922,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2060,price,Total,atlantic,1279.1420931423302,1294.1631506172196,0.01174307182557709,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2061,price,Total,atlantic,1279.1421227303067,1294.1629070964784,0.011742858044663643,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2062,price,Total,atlantic,1279.1421419889589,1294.1626512487792,0.011742642796886252,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2063,price,Total,atlantic,1279.1421542333053,1294.1623863076018,0.011742425988063328,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2064,price,Total,atlantic,1279.1421617864225,1294.1621149758598,0.01174220789381278,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2065,price,Total,atlantic,1279.1421662575187,1294.1618394283666,0.011741988941535782,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2066,price,Total,atlantic,1279.1421687472198,1294.1615613596362,0.011741769585413812,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2067,price,Total,atlantic,1279.1421699976063,1294.1612820512921,0.011741550240434913,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2068,price,Total,atlantic,1279.1421705007992,1294.1610024439608,0.011741331252710954,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2069,price,Total,atlantic,1279.1421705767527,1294.1607232053373,0.011741112891159557,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2070,price,Total,atlantic,1279.142170428423,1294.1604447903949,0.011740895350938037,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
