"","Id","Name","Category","Year","Biomass","Catches"
"25","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2050,14690108.797998,921040.501091182
"26","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2080,14724734.5553361,926417.193211451
"27","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2050,14686489.9655157,920610.153047055
"28","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2080,14717714.8690225,925466.686933443
"29","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2050,4654086.68107259,124246.209121644
"30","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2080,4816395.21539617,129091.503057748
"31","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2050,19999840.935005,1426249.08713946
"32","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2080,20036716.3313262,1431676.08844529
"33","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2050,20000138.8974596,1426289.627591
"34","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2080,20037241.7843559,1431751.63817087
"35","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2050,11841423.3204038,767478.620373011
"36","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2080,11848461.1160225,769106.672750011
"37","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2050,11841423.3204038,767478.620373011
"38","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2080,11848461.1160225,769106.672750011
"39","RD/TN/RL/77/Rev.2","Australia - Overfished (RD/TN/RL/77/Rev.2)","Overfished",2050,1465974.56111819,72245.5841740221
"40","RD/TN/RL/77/Rev.2","Australia - Overfished (RD/TN/RL/77/Rev.2)","Overfished",2080,1530332.40207577,71346.6638863087
"41","RD/TN/RL/79/Rev.1","New Zealand/Iceland - Overfishing and overcapacity (RD/TN/RL/79/Rev.1)","OFOC",2050,4356002.65090841,331681.108475834
"42","RD/TN/RL/79/Rev.1","New Zealand/Iceland - Overfishing and overcapacity (RD/TN/RL/79/Rev.1)","OFOC",2080,4663413.28862727,365268.700404376
"43","RD/TN/RL/81","Philippines - De minimis (RD/TN/RL/81)","OFOC",2050,1326866.62046099,104440.740019917
"44","RD/TN/RL/81","Philippines - De minimis (RD/TN/RL/81)","OFOC",2080,1326911.23790139,104451.704296708
"45","RD/TN/RL/87","Latin 6 and others - IUU (RD/TN/RL/87)","IUU",2050,13335.1430338621,5.24255183339119
"46","RD/TN/RL/87","Latin 6 and others - IUU (RD/TN/RL/87)","IUU",2080,13332.6042522788,12.2496740669012
"47","RD/TN/RL/89/Rev.2","ACP - IUU (RD/TN/RL/89/Rev.2)","IUU",2050,52.0720245242119,7.29023198783398
"48","RD/TN/RL/89/Rev.2","ACP - IUU (RD/TN/RL/89/Rev.2)","IUU",2080,101.682374536991,15.8837477564812
"49","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2050,13538825.7929658,143829.794490576
"50","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2080,13784587.079869,170595.11255239
"51","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2050,1079119.2351833,43832.1342266351
"52","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2080,1141482.99012953,42764.56394054
"53","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2050,7015289.53372002,84990.477468729
"54","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2080,7296297.08597982,103079.620603755
"55","RD/TN/RL/96 Rev.1","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1)","OFOC",2050,13778583.110818,1345571.59823985
"56","RD/TN/RL/96 Rev.1","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1)","OFOC",2080,13843075.2880854,1348775.85278009
"57","TN/RL/GEN/197/Rev.2","US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2)","OFOC",2050,15707469.6965596,1562140.89506878
"58","TN/RL/GEN/197/Rev.2","US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2)","OFOC",2080,15715890.8240274,1563317.29863602
"59","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2050,4380061.27663028,373869.609745339
"60","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2080,4416267.13560772,377586.092967644
"61","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2050,8299726.79766995,257293.129150599
"62","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2080,8680113.04132026,298281.11357446
"63","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2050,589364.388871372,-17135.9235842675
"64","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2080,595144.230424583,-15633.6622906625
