Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2033,biomass,Total,atlantic,120974601.14588189,123535594.60942616,0.021169678918436702,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2034,biomass,Total,atlantic,120974902.0684892,123584235.3405887,0.021569211691713146,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2035,biomass,Total,atlantic,120973506.11529993,123623926.36194973,0.02190909672506048,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2036,biomass,Total,atlantic,120971334.42286897,123657328.31231141,0.022203556753811186,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2037,biomass,Total,atlantic,120968930.49569762,123686277.3468099,0.022463179925434833,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2038,biomass,Total,atlantic,120966595.85125439,123712022.64826813,0.022695743214842856,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2039,biomass,Total,atlantic,120964481.03551294,123735402.23243111,0.022906899390612714,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2040,biomass,Total,atlantic,120962645.67878358,123756970.85753168,0.023100728022834704,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2041,biomass,Total,atlantic,120961097.35353962,123777091.57048698,0.023280164272294103,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2042,biomass,Total,atlantic,120959816.12055005,123796000.16913393,0.023447324405299227,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2043,biomass,Total,atlantic,120958769.56266412,123813849.83872508,0.023603747676863112,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2044,biomass,Total,atlantic,120957921.60953455,123830741.51102805,0.023750572622827322,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2045,biomass,Total,atlantic,120957237.3966998,123846744.10491854,0.02388866322022642,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2046,biomass,Total,atlantic,120956685.66034484,123861907.71173468,0.024018697565407157,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2047,biomass,Total,atlantic,120956239.65566853,123876271.94522451,0.024141229074817198,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2048,biomass,Total,atlantic,120955877.23612836,123889871.0396049,0.024256727912020687,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2049,biomass,Total,atlantic,120955580.49464539,123902736.80766746,0.024365608440468322,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2050,biomass,Total,atlantic,120955335.21125838,123914900.22702996,0.02446824698226383,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2051,biomass,Total,atlantic,120955130.24978484,123926392.1758059,0.024564992984465326,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2052,biomass,Total,atlantic,120954956.98116167,123937243.66447982,0.024656175800902763,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2053,biomass,Total,atlantic,120954808.77098867,123947485.7893536,0.024742108633573588,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2054,biomass,Total,atlantic,120954680.54488525,123957149.54982519,0.02482309069325972,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2055,biomass,Total,atlantic,120954568.43179825,123966265.61592147,0.02489940829164631,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2056,biomass,Total,atlantic,120954469.47847448,123974864.09576428,0.02497133533231955,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2057,biomass,Total,atlantic,120954381.42535502,123982974.32908057,0.025039133498397453,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2058,biomass,Total,atlantic,120954302.53349292,123990624.7182279,0.025103052319235982,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2059,biomass,Total,atlantic,120954231.45267439,123997842.59950751,0.025163329221962703,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2060,biomass,Total,atlantic,120954167.122087,124004654.1526983,0.02522018962382862,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2061,biomass,Total,atlantic,120954108.69623916,124011084.34435084,0.025273847090129788,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2062,biomass,Total,atlantic,120954055.49017444,124017156.89947498,0.025324503563664,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2063,biomass,Total,atlantic,120954006.93923807,124022894.29621327,0.025372349661114332,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2064,biomass,Total,atlantic,120953962.56969193,124028317.77851166,0.025417565026431714,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2065,biomass,Total,atlantic,120953921.9773337,124033447.38243021,0.025460318729256314,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2066,biomass,Total,atlantic,120953884.81196746,124038301.97242619,0.0255007696962665,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2067,biomass,Total,atlantic,120953850.76611586,124042899.28461155,0.025539067164292904,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2068,biomass,Total,atlantic,120953819.5667844,124047255.97458896,0.025575351145455387,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2069,biomass,Total,atlantic,120953790.96940829,124051387.66798946,0.025609752896166935,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2070,biomass,Total,atlantic,120953764.753352,124055309.01227093,0.025642395383422514,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2071,biomass,Total,atlantic,120953740.71850954,124059033.7286894,0.02567339374320533,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2072,biomass,Total,atlantic,120953718.68268487,124062574.66364071,0.02570285572708801,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2073,biomass,Total,atlantic,120953698.47952494,124065943.83879349,0.02573088213416961,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2074,biomass,Total,atlantic,120953679.95684789,124069152.49960941,0.02575756722633832,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2075,biomass,Total,atlantic,120953662.97525509,124072211.16198052,0.025782999125569563,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2076,biomass,Total,atlantic,120953647.40695184,124075129.65681589,0.02580726019250771,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2077,biomass,Total,atlantic,120953633.13472366,124077917.17248592,0.025830427386023903,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2078,biomass,Total,atlantic,120953620.0510323,124080582.29509062,0.02585257260377155,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2079,biomass,Total,atlantic,120953608.05720666,124083133.04655844,0.025873763004007518,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2080,biomass,Total,atlantic,120953597.06271145,124085576.9206132,0.02589406130913079,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2020,price,Total,atlantic,1329.6316916505937,1339.6674863382664,0.007547800455338391,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2021,price,Total,atlantic,1314.6656824377064,1329.4986675678183,0.011282705046813075,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2022,price,Total,atlantic,1303.8673992894337,1320.465290557618,0.012729738681425356,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2023,price,Total,atlantic,1296.1531391204805,1312.8574774881965,0.01288762713567234,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2024,price,Total,atlantic,1290.6977468848588,1306.6853735506716,0.01238680915373053,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2025,price,Total,atlantic,1286.8804526915233,1301.8193628192896,0.011608623082681433,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2026,price,Total,atlantic,1284.2393340213398,1298.072146459129,0.01077121068584198,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2027,price,Total,atlantic,1282.4342188656333,1295.2448247452112,0.009989288878231448,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2028,price,Total,atlantic,1281.2171185834989,1293.151020084968,0.009314503629691674,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2029,price,Total,atlantic,1280.409058628055,1291.6278827255683,0.008761906222011728,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2030,price,Total,atlantic,1279.8821811484866,1290.5395169572328,0.008326810049955521,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2031,price,Total,atlantic,1279.5460960154667,1289.7762653694392,0.007995154989593188,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2032,price,Total,atlantic,1279.3375947708773,1289.2519510440932,0.007749601288775895,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2033,price,Total,atlantic,1279.2129858449744,1288.9003256713536,0.007572890467477807,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2034,price,Total,atlantic,1279.1424448308974,1288.6714319481407,0.0074495120975389606,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2035,price,Total,atlantic,1279.1058941153872,1288.5282513226834,0.007366362121106987,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2036,price,Total,atlantic,1279.0900293700424,1288.4438023464681,0.007312833937914825,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2037,price,Total,atlantic,1279.0861962788765,1288.3987342029777,0.0072806179530302845,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2038,price,Total,atlantic,1279.0888906692035,1288.379393683853,0.00726337558118338,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2039,price,Total,atlantic,1279.094710815437,1288.3763115635438,0.007256382713200016,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2040,price,Total,atlantic,1279.1016342189967,1288.3830424846535,0.007256192953989911,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2041,price,Total,atlantic,1279.1085247266246,1288.3952923042511,0.0072603437457437825,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2042,price,Total,atlantic,1279.1148013577458,1288.4102727541724,0.007267112683364855,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2043,price,Total,atlantic,1279.1202193506967,1288.4262317761531,0.0072753227450194575,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2044,price,Total,atlantic,1279.1247281249564,1288.4421169747798,0.0072841910135546745,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2045,price,Total,atlantic,1279.128381252667,1288.4573381832486,0.007293213931697503,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2046,price,Total,atlantic,1279.1312810664485,1288.4716026358496,0.007302082051823342,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2047,price,Total,atlantic,1279.1335459304562,1288.48480251304,0.007310617888440719,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2048,price,Total,atlantic,1279.1352920298239,1288.4969396927468,0.007318731428375469,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2049,price,Total,atlantic,1279.136624217294,1288.5080765271937,0.007326388856729149,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2050,price,Total,atlantic,1279.1376323151244,1288.5183045301358,0.007333590989761748,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2051,price,Total,atlantic,1279.1383905424848,1288.5277251725925,0.007340358712965871,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2052,price,Total,atlantic,1279.1389585970003,1288.5364387010266,0.007346723388312496,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2053,price,Total,atlantic,1279.1393834895066,1288.5445381447269,0.007352720725057257,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2054,price,Total,atlantic,1279.1397016032818,1288.552106580269,0.007358387019955483,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2055,price,Total,atlantic,1279.139940686687,1288.5592163594408,0.00736375698478877,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2056,price,Total,atlantic,1279.1401216357738,1288.5659294528182,0.007368862611385078,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2057,price,Total,atlantic,1279.1402600118342,1288.5722983674807,0.007373732694145044,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2058,price,Total,atlantic,1279.140367289061,1288.578367304266,0.0073783927523195965,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2059,price,Total,atlantic,1279.1404518536956,1288.5841733570505,0.007382865180808997,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2060,price,Total,atlantic,1279.140519787563,1288.5897476453429,0.007387169518599151,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2061,price,Total,atlantic,1279.140575471918,1288.595116327356,0.007391322765247931,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2062,price,Total,atlantic,1279.1406220458955,1288.6003014746516,0.0073953397036410256,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2063,price,Total,atlantic,1279.1406617499986,1288.6053218089467,0.0073992332055173955,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2064,price,Total,atlantic,1279.1406961803746,1288.6101933119692,0.007403014507998495,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2065,price,Total,atlantic,1279.140726474975,1288.6149297238462,0.007406693456614381,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2066,price,Total,atlantic,1279.1407534484192,1288.6195429467145,0.007410278714630568,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2067,price,Total,atlantic,1279.1407776887245,1288.6240433695814,0.007413777940839464,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2068,price,Total,atlantic,1279.1407996260082,1288.6284401288344,0.007417197939116807,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2069,price,Total,atlantic,1279.1408195808247,1288.6327413168433,0.0074205447834345154,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2070,price,Total,atlantic,1279.14083779785,1288.6369541490626,0.007423823921970096,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2071,price,Total,atlantic,1279.1408544691474,1288.6410850982027,0.007427040263676012,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2072,price,Total,atlantic,1279.140869750082,1288.645140002366,0.0074301982502841145,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2073,price,Total,atlantic,1279.140883770128,1288.6491241526755,0.007433301916301006,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2074,price,Total,atlantic,1279.140896640137,1288.6530423647525,0.0074363549391631735,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2075,price,Total,atlantic,1279.140908457206,1288.6568990374687,0.007439360681334259,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2076,price,Total,atlantic,1279.1409193079198,1288.6606982016528,0.007442322225829271,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2077,price,Total,atlantic,1279.14092927052,1288.6644435608337,0.007445242406358459,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2078,price,Total,atlantic,1279.140938416355,1288.6681385256409,0.0074481238330789176,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2079,price,Total,atlantic,1279.1409468108818,1288.671786243124,0.007450968914726846,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2080,price,Total,atlantic,1279.1409545143629,1288.6753896219686,0.0074537798777817976,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2019,catches_fleet,affected_managed,atlantic,3657502.8824479985,3657502.8824479985,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2020,catches_fleet,affected_managed,atlantic,3720300.512760545,3718932.173032867,-3.6780354785452476e-4,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2021,catches_fleet,affected_managed,atlantic,3765778.1508776126,3770114.869837055,0.0011516129696678148,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2022,catches_fleet,affected_managed,atlantic,3798126.775194969,3811385.917355191,0.003490968823583121,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2023,catches_fleet,affected_managed,atlantic,3820753.2775746607,3843793.5608574077,0.006030298637176737,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2024,catches_fleet,affected_managed,atlantic,3836322.05229255,3868678.628447266,0.008434270041374618,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2025,catches_fleet,affected_managed,atlantic,3846856.209554126,3887418.8992898366,0.010544373775907804,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2026,catches_fleet,affected_managed,atlantic,3853856.285107662,3901287.4051977512,0.012307443916208263,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2027,catches_fleet,affected_managed,atlantic,3858413.761664492,3911386.177540733,0.013729065659715305,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2028,catches_fleet,affected_managed,atlantic,3861309.278543117,3918626.973611148,0.014844108806963324,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2029,catches_fleet,affected_managed,atlantic,3863092.6398925055,3923738.864210519,0.015698879103168768,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2030,catches_fleet,affected_managed,atlantic,3864145.4265992413,3927289.238505571,0.01634095121567447,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2031,catches_fleet,affected_managed,atlantic,3864728.5941930306,3929709.796670883,0.016813910962723284,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2032,catches_fleet,affected_managed,atlantic,3865017.861288946,3931322.6408035336,0.017155103001898025,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2033,catches_fleet,affected_managed,atlantic,3865129.5499196807,3932363.928952472,0.017395116558043516,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2034,catches_fleet,affected_managed,atlantic,3865139.1643747045,3933004.030808986,0.01755819481476827,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2035,catches_fleet,affected_managed,atlantic,3865094.563773661,3933363.9840786895,0.017663065981592476,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2036,catches_fleet,affected_managed,atlantic,3865025.178361279,3933528.5074587073,0.017723902416199238,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2037,catches_fleet,affected_managed,atlantic,3864948.3730661357,3933556.0316253193,0.017751248383366076,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2038,catches_fleet,affected_managed,atlantic,3864873.7813490266,3933486.267776131,0.017752840146607714,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2039,catches_fleet,affected_managed,atlantic,3864806.2131426632,3933345.811781421,0.017734291154283953,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
