description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
IUU - RFMO Lists,FALSE,KOR,1054152823.2,407189295.98,0,45751448.21,113598814.93,190306849.85999998,397607346.43,0,0,457855697.3,3926472.7693000003,33338852.960000005,0
IUU - RFMO Lists,FALSE,LBN,685438.6207999999,0,289104.74149999995,0,361216.41508752,0,0,0,4074.6199999999994,0,0,0,0
IUU - RFMO Lists,TRUE,LBR,47470.29653,0,186886.43893000003,0,0,0,0,0,1019.04,0,0,0,0
IUU - RFMO Lists,FALSE,LBY,0,2456433.1604,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,LKA,2552492.4239999996,1889334.72,609864.4479,3398178.42,9028911.676,17887801.28,559610.4478000001,25194391.826,1512494.77,0,5366.918000000015,0,0
IUU - RFMO Lists,FALSE,LTU,295251.95668500004,294866.6146,7306175.9917,1732740.79428,497066.26305000007,559976.0242460001,555556.1827,6048792.088130001,7697219.2700000005,190025.863,1169390.3946713,406.2504586,0
IUU - RFMO Lists,FALSE,LVA,1456576.3198399998,754535.8657,7912045.4423,1110104.65291,1109994.3215,1272506.27238,2931099.99,0,13676453.32,9019281.740999999,767854.867854,86718.13769,0
IUU - RFMO Lists,FALSE,MAR,51496449.410000004,19782403.8617,2656561.9098,9728352.217,165989449.2,1643404.0530000003,13351220.26,7531986.700000001,289710.22,7701701.312100001,0,0,0
IUU - RFMO Lists,FALSE,MDG,37785308,548155.7884000001,2637239.0409999997,0,16402485.860000001,22974.10736,19943.754220000003,0,35073.78,0,0,0,0
IUU - RFMO Lists,FALSE,MEX,7053751.851000002,4789925.576,20770030.560000002,5291435.045000001,8160765.381000001,0,0,111142864.38000001,323782.6400000001,20280695.888,14522813.999,0,0
IUU - RFMO Lists,FALSE,MHL,20402368.99,4381362.2251,2479499.7802,0,1467278.8266,1217256.091,1586948.334,0,1928764.83,0,0,0,0
IUU - RFMO Lists,FALSE,MLT,991271.3311999999,229131.88444,7488763.399,1996407.67741,0,0,4505160.09311,0,4145226.03,3584515.4725909997,1325450.0949799998,1453403.5027299998,0
IUU - RFMO Lists,FALSE,MNE,195942.50602000003,0,19906.436060000004,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,MNG,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,MOZ,6751589.095,255273.10940000004,342302.42849999986,0,5650695.597999999,2623158.0649999995,338901.97022,2391873.0829999996,0,1179118.776,1979.006312000001,0,0.3243000000103475
IUU - RFMO Lists,FALSE,MRT,3090217.037,511872.2042,783663.31522,0,0,14174868.9326,2947579.637000001,1508514.1130000004,122240.29,1621495.023,331106.1425000001,0,0
IUU - RFMO Lists,FALSE,MUS,7235209.666,153097.97827,658733.2917999999,926603.6612,406323.16217,0,135595.414716,1609345.4769999997,6051.47,0,221419.27219,0,0
IUU - RFMO Lists,FALSE,MYS,45873348.99,5063139.432999999,6392541.588,20801400.070000004,32444024.6,3501657.7705,0,170232829.6,3849380.43,63605170.4,21471156.32,0,0
IUU - RFMO Lists,FALSE,NAM,12877659.339999998,3409343.886,592718.1887533,0,294376.1161,0,45984143.95999999,0,13027.169999999998,4133740.4749999996,0,0,0
IUU - RFMO Lists,FALSE,NCL,312228.3170980929,96293.1265411331,1231177.528266439,57853.73525640074,106496.93231816517,608733.3397177976,158279.00011053198,50488.8358852807,282938.49198473647,1455185.4459817624,336924.2979896398,11875.541034611366,0
IUU - RFMO Lists,FALSE,NGA,690897.0087,66824.44510000003,0,0,962104.6765000001,0,0,3542023.6929999986,1588003.99,0,3445399.386,0,0.44800000039432103
IUU - RFMO Lists,FALSE,NIC,1277583.1950000005,124972.87740000003,563664.6706999999,0,6099590.712,0,0,1299419.061,6772.180000000001,0,0,0,0
IUU - RFMO Lists,FALSE,NIU,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,NLD,17719273.391941663,1061813.0498276402,21180276.997785013,9648835.836437317,882593.4393372406,0,2057285.2688100992,33657471.16087529,9371334.111798132,77824903.40256423,6382447.542774372,7043805.063805103,0
IUU - RFMO Lists,FALSE,NOR,71215287.88,83106764.43,69142337.951,44755290.62,81916731.80999999,0,4084474.567900001,178329064.28,49260505.61000001,52048771.938,168133.527634,40698522.33,0
IUU - RFMO Lists,FALSE,NRU,12155804.999999998,975742.957188,0,4706.758547999999,0,46102.89664,78500.58059,0,382.52,0,0,0,0
IUU - RFMO Lists,FALSE,NZL,38378530.859,0,27563436.00699999,0,0,0,0,0,785595.8799999999,28166225.58,0,0,0
IUU - RFMO Lists,FALSE,OMN,37823530.489999995,9400376.099,547888.0340000001,0,19511978.68908,2216839.8909999984,8855609.503,0,191570.48,15717039.44,0,0,0
IUU - RFMO Lists,FALSE,PAK,19340520.54,4440868.199,500991.18990000006,3076097.5629999996,17549534.9,0,77756610.46,0,467245.44,0,0,0,0.012999999684514103
IUU - RFMO Lists,FALSE,PAN,1500190.532,642254.2369,4743853.2578,2425502.8755,679485.8011,0,6299429.037,8128977.268000001,830060.96,0,0,0,0
IUU - RFMO Lists,FALSE,PER,14210296.660999998,17686700.973,2779541.8345,28949474.979999997,2651035.7320000003,0,21542847.68,134400037.2,63405.52,0,2699781.99,0,0
IUU - RFMO Lists,FALSE,PHL,564433.5758999999,8821393.786999999,19906205.186999995,6206291.875,2984547.163,0,33119.4109693,27367791.54,8652193.27,86620873.61,0,0,0
IUU - RFMO Lists,FALSE,PLW,20965574.91,0,2104455.49799,0,0,0,251173.95220000003,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,PNG,1371457.4759999998,2543110.61,2288981.2682,1618814.7630000003,3947720.413,1079495.921,11036631.22,3180825.179,5799581.92,0,0,0,0
IUU - RFMO Lists,FALSE,POL,962302.6736399999,2029858.4612,10840018.299999997,3974095.7629999993,5474992.562,904061.7168,4661049.848,17979537.8777,12753918.679999998,9016050.7355,3466361.694,211692.00040000002,0
IUU - RFMO Lists,FALSE,PRK,7906722.863,0,0,0,0,0,0,0,975586.68,0,0,0,0
IUU - RFMO Lists,FALSE,PRT,3012273.3917,7012216.799,17828345.729999997,151494.48922,0,489145.53089999995,2771668.443,0,3488440.12,82312992.11500001,617952.1542,302988.9784,0
IUU - RFMO Lists,FALSE,PSE,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,PYF,99111.30607299184,30566.534214592764,390815.33016708534,18364.635583842744,33805.55022337798,193231.53297031196,50242.84334836157,16026.77973991384,89813.77390609922,461922.64516594197,106950.60439053003,3769.6785262880644,0
IUU - RFMO Lists,FALSE,QAT,14190580.251999997,0,116364.94829999997,0,0,0,1273543.5129999993,0,0,0,509474.8740000001,0,0
IUU - RFMO Lists,FALSE,REU,121560.61186125976,37490.037704351926,479337.3485047552,22524.33578603933,41462.7102828605,236999.63515223248,61623.14897331966,19656.941559369337,110157.13284570878,566550.8972063176,131175.55830683556,4623.533341779886,0
IUU - RFMO Lists,FALSE,ROU,0,11591.336300000008,323972.5070000003,41685.053746,134129.2847,0,99972.007031,155843.057393,4792700.09,735313.708679,30341.477060000005,0,0
IUU - RFMO Lists,FALSE,RUS,111792826.4602679,105189918.98353,29591203.622448217,8685719.943631576,58604588.762433484,1442373.80575152,16451328.864968285,965205082.3393881,89075535.00470121,1750169.3338826434,1269289.8189740407,52880893.388422,0
IUU - RFMO Lists,TRUE,RUS,124307.69973209695,116965.61646999365,32903.850551788055,9658.060368424221,65165.19756652503,1603.843248480044,18293.006031717756,1073256.9106120716,99047.2752987925,1946.0955673567323,1411.3830259592726,58800.75157800281,0
IUU - RFMO Lists,FALSE,SAU,25701302.495,6236187.769799998,535802.8428,4262127.930999999,12605169.102648998,0,0,0,846553.32,0,0,0,0
IUU - RFMO Lists,FALSE,SEN,8548721.908000002,2149159.7860000003,1315910.0770000003,0,55687404.19,21427740.89,28967662.49,5406018.860000001,44711296.53000001,0,5262761.759999997,0,0
IUU - RFMO Lists,FALSE,SGP,705073.8837070001,0,20304.103020000002,0,0,0,0,0,55432.35,0,0,0,0
IUU - RFMO Lists,FALSE,SHN,9693.460800559098,5153.4800237671925,490238.9891590237,1097.900375916827,9363.474301756543,5609.679794088829,15553.010933281961,0,6522.121486784429,124814.66694236083,5213.252910697053,36130.35137111028,0
IUU - RFMO Lists,FALSE,SLB,10500444.82,0,3515318.2096,782205.63734,5616786.792000001,0,13494042.010000002,0,0,245481.5216,0,0,0
IUU - RFMO Lists,FALSE,SLE,365531.9340000006,0,0,0,228788.28730000003,0,0,0,4326075.17,0,4710.914500000001,0,0
IUU - RFMO Lists,FALSE,SLV,0,36152.65351,741931.4982999999,99962.21321999998,1422884.8684,0,0,0,0,0,153929.41870000004,0,0
IUU - RFMO Lists,FALSE,SPM,29872.3120508814,9212.804114394361,117792.38877572185,5535.131627235862,10189.048912147044,58240.30455928277,15143.276325311183,4830.4979979666805,27070.020433535745,139224.25146535094,32235.089567192073,1136.1873607623672,0
IUU - RFMO Lists,FALSE,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,STP,2612212.652,0,0,0,0,0,235757.24790000007,0,48719.93,0,0,0,0.004739999997904448
IUU - RFMO Lists,FALSE,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,SVN,547190.7768,462655.23040000006,1479066.7699,18653.8992885,33509.3756477,51176.9228627,42159.460931400004,0,1439347.51,70844.0462482,12351.617762799999,0,0
IUU - RFMO Lists,FALSE,SWE,25180836.301000006,627378.5279,142370461.865,2217163.0444,33441.51500000011,86413.67969,2458851.50209,8192641.100000001,186009.68,24641802.244,3161527.447,1935262.188,0
IUU - RFMO Lists,FALSE,SYC,15795252.543224012,372704.336754111,1692068.571018311,0,21235657.495190337,0,7828587.708337411,0,362105.9215312923,497869.65524076927,0,0,0
IUU - RFMO Lists,TRUE,SYC,66729.3127759874,1574.5429958890459,7148.386681689132,0,89713.08480966276,0,33072.993062589536,0,1529.7684687076717,2103.321859230822,0,0,0
IUU - RFMO Lists,FALSE,TCA,4667.7818845145475,2481.6029271775296,236069.3172192153,528.682128204479,4508.88043198522,2701.2810243442523,7489.3852853712415,0,3140.657516545537,60103.16163259927,2510.3859185710935,17398.182453214915,0
IUU - RFMO Lists,FALSE,TGO,2699374.042,0,0,0,0,0,0,0,160528.82,0,0,0,0
IUU - RFMO Lists,FALSE,THA,66405473.16,1591133.3969,3204236.912,4562539.203,756991.1976,160610126.6,4769413.109999999,243399387.45000002,292468417.5,251385951.7,427534.40390000003,3260958.378,0
IUU - RFMO Lists,FALSE,TLS,713359.27575,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,TUN,166081.76,0,1004773.1453999998,0,6629814.4471,0,5791208.797,8975810.675,184753.04,60018727.917,0,0,0
IUU - RFMO Lists,FALSE,TUR,30643411.352,2252490.0619,479506.59832000005,0,8314739.0628003,0,22586347.38,0,2431707.74,44734809.766,0,12456070.216999998,0
IUU - RFMO Lists,FALSE,TUV,4900690.95,0,725575.4824000001,0,0,0,0,0,395113.66000000003,0,0,0,0
IUU - RFMO Lists,FALSE,TWN,50603383.194,9740076.975000001,3184325.3952000006,18304461.44,0,26751595.932,15666946.43,0,24497938.600000005,576347310.8699999,1546997.5015,7720655.777000001,0
IUU - RFMO Lists,FALSE,UKR,3192743.2953000003,0,4902954.2635,2261071.5200000005,8219829.080999999,0,0,0,9346391.36,0,0,0,0
IUU - RFMO Lists,FALSE,URY,8146021.622999999,0,479788.235,0,133522.8430000003,0,0,0,58430.64,0,0,0,0
IUU - RFMO Lists,FALSE,USA,1381016204.3,28779958.23,139651988.8,295678890.612,244655.56386000002,0,125720138.9,407066285.93,50418583.06,186253891.76,281036.60168,105792164.9,0
