description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,ITA,610420.4884231513,4962095.139433931,49613402.936029896,9991933.138972817,745072.8573566073,0,10133141.593193049,3455348.91260092,26325137.83704553,87484657.02835838,9101535.087411197,48412961.553867996,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,ITA,43.96657684896201,357.40336606877963,3573.4899701029517,719.686027182958,53.665143392658386,0,729.8568069518918,248.87739908319207,1896.1129544682606,6301.231641615589,655.5535888021999,3487.02613200696,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,JAM,0,0,0.23000000001118798,0,0,0,83681.21699999999,0,0,6597561.643000002,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,JOR,79844.0972,0,0,0,41618.6691829,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,JPN,144015329.8331845,63456496.026090756,9558530.822107363,64822121.067519546,7834791.709517236,139818133.06808552,7304349.050166393,0,49817115.16159496,279071557.5420753,0,47235557.49572171,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,JPN,181995246.78681546,80191328.71390925,12079319.457892636,81917098.23248047,9900993.542482764,176691159.63191453,9230661.829833608,0,62954951.93840504,352668684.95792466,0,59692582.404278286,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KEN,7035330.436347073,225362.32631422248,964470.5224951943,657365.436091121,35235863.131153554,889385.5599335339,2961116.092014021,404023.5195137786,291450.7491856351,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,KEN,579012.3816529284,18547.469585777544,79376.56650480565,54101.61330887896,2899935.0088464483,73197.0240664662,243701.82698597954,33251.4048052214,23986.590814364954,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,KHM,45374504.78616,3584232.70664,814461.0691800001,0,6110621.1959999995,0,0,0,1495908.1899999997,0,0,0,930672.2240999999
