uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
2336,2205,Muraenesox cinereus,Daggertooth pike conger,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18438,2207,Conger oceanicus,American conger,34,NaN,NaN,6072,230,NaN,1,1
1529,2208,Belone belone,Garfish,37,0.297379997,NaN,3774,93,NaN,3,0
930,2211,Exocoetidae,Flyingfishes nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
572,2212,Hemiramphus spp,Halfbeaks nei,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
346,2214,Gadiformes,Gadiformes nei,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4458,2215,Moridae,Moras nei,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14638,2216,Antimora rostrata,Blue antimora,32,0.094500002,NaN,44640,75,NaN,1,350
1822,2217,Brosme brosme,Tusk(=Cusk),32,0.136142855,NaN,6072,120,8,1,18
981,2218,Gadus morhua,Atlantic cod,32,0.184333333,7.5,7020,200,3.300000017,2,0
1849,2219,Gadus ogac,Greenland cod,32,NaN,NaN,7236,77,3,1,0
995,2220,Molva molva,Ling,32,0.129500002,NaN,3960,200,5,1,100
3305,2221,Molva dypterygia,Blue ling,32,0.131000002,NaN,5450,155,9,1,150
12569,2222,Phycis spp,Forkbeards nei,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4541,2223,Phycis blennoides,Greater forkbeard,32,0.167999998,NaN,3111,110,3,2,10
1464,2225,Urophycis brasiliensis,Brazilian codling,32,0.085500002,NaN,728,40,NaN,1,24
3050,2226,Urophycis chuss,Red hake,32,0.189999998,NaN,429,66,1.674999982,1,35
1962,2227,Urophycis tenuis,White hake,32,0.161999997,NaN,9805,133,1.399999976,1,180
990,2228,Melanogrammus aeglefinus,Haddock,32,0.232304349,NaN,5632,112,2.57249999,1,10
13305,2229,Eleginus navaga,Navaga(=Wachna cod),32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10704,2231,Pseudophycis bachus,Red codling,32,0.43175,NaN,680,90,NaN,2,26
