country,global_capture,percent_global_capture,exports,percent_exports,tier
Madagascar,107963,0.0014,135094,0.0012,2
Egypt,105785,0.0013,36193,0.0003,2
Belize,103160,0.0013,41170,0.0004,2
Guinea,100000,0.0013,12220,0.0001,2
Saint Kitts and Nevis,83873,0.0011,382,0,2
Ukraine,73233,0.0009,29078,0.0003,2
United Arab Emirates,73000,0.0009,99672,0.0009,2
"Saudi Arabia, Kingdom of",68071,0.0009,97444,0.0009,2
Solomon Islands,65118,0.0008,62689,0.0006,2
Cote D'Ivoire,60993,0.0008,116198,0.001,2
Tanzania,60232,0.0008,153649,0.0014,2
Colombia,58583,0.0007,182458,0.0016,2
The Gambia,55852,0.0007,2477,0,2
Georgia,55599,0.0007,26881,0.0002,2
Uruguay,54237,0.0007,119833,0.0011,2
El Salvador,51281,0.0006,98329,0.0009,2
Vanuatu,50324,0.0006,83275,0.0007,2
Suriname,45398,0.0006,91233,0.0008,2
Nicaragua,45059,0.0006,291434,0.0026,2
Republic of the Congo,44932,0.0006,910,0,2
Fiji,41764,0.0005,57493,0.0005,2
Guyana,38859,0.0005,86672,0.0008,2
Mauritius,19666,0.0002,319780,0.0028,2
Costa Rica,14700,0.0002,133696,0.0012,2
Guatemala,14370,0.0002,106779,0.0009,2
Honduras,10553,0.0001,415426,0.0037,2
Singapore,1203,0,345277,0.003,2
Uganda,no data,,124238,0.0011,2
Kazakhstan,no data,,63010,0.0006,2
Saint Vincent and the Grenadines,27308,0.0003,523,0,3
Cabo Verde,25438,0.0003,58228,0.0005,3
Cuba,21892,0.0003,54976,0.0005,3
Togo,21004,0.0003,1849,0,3
Gabon,20000,0.0003,3083,0,3
Benin,17095,0.0002,433,0,3
Kenya,16268,0.0002,33409,0.0003,3
Haiti,15910,0.0002,8236,0.0001,3
Qatar,15026,0.0002,1449,0,3
"Bahrain, Kingdom of",15000,0.0002,25979,0.0002,3
Jamaica,13617,0.0002,11674,0.0001,3
Trinidad and Tobago,13064,0.0002,23264,0.0002,3
Dominican Republic,12954,0.0002,12849,0.0001,3
Liberia,12536,0.0002,464,0,3
Brunei Darussalam,9509,0.0001,3454,0,3
Samoa,9450,0.0001,10986,0.0001,3
Guinea-Bissau,6550,0.0001,4791,0,3
Democratic Republic of the Congo,6366,0.0001,1422,0,3
Albania,6203,0.0001,52203,0.0005,3
"Kuwait, the State of",4586,0.0001,622,0,3
Antigua and Barbuda,3165,0,314,0,3
Grenada,2602,0,7083,0.0001,3
Saint Lucia,2090,0,13,0,3
Djibouti,2085,0,81,0,3
Tonga,1586,0,5026,0,3
Barbados,1564,0,499,0,3
"Macau, China",1500,0,no data,,3
Israel,1324,0,24848,0.0002,3
Montenegro,895,0,52,0,3
Dominica ,861,0,16,0,3
Jordan,277,0,0,0,3
Armenia,,,19646,0.0002,3
Botswana,,,306,0,3
Burkina Faso,,,588,0,3
Burundi,,,220,0,3
Chad,,,49,0,3
Eswatini,,,5,0,3
Kyrgyz Republic,,,74,0,3
Lao People's Democratic Rep.,,,188,0,3
Lesotho,,,2108,0,3
North Macedonia,,,597,0,3
Malawi,,,142,0,3
Mali,,,383,0,3
"Moldova, Rep. of",,,4,0,3
Mongolia,,,97,0,3
Nepal,,,7,0,3
Niger,,,557,0,3
Paraguay,,,29,0,3
Rwanda,,,1939,0,3
Switzerland,,,20610,0,3
Zambia,,,605,0,3
Zimbabwe,,,11650,0.0001,3
Afghanistan,,,,,3
"Bolivia, Plurinational State of",,,,,3
Central African Republic,,,,,3
Liechtenstein,,,,,3
Tajikistan,,,,,3
