"","Id","Name","Category","Region","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"24","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Atlantic Ocean",3.11,-1.14,-4.11,-0.15,3.42,-1.17,-4.44,-0.15,2996459112.75092,30.38
"25","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15,3.38,-1.15,-4.38,-0.15,2803970030.66679,28.43
"26","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.62,-1.6,-5.94,-0.21,4.63,-1.59,-5.94,-0.21,3298347150.99413,33.44
"27","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.61,-1.6,-5.93,-0.21,4.62,-1.59,-5.93,-0.21,3178232024.42991,32.22
"28","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.5,-1.95,-7.06,-0.26,5.52,-1.94,-7.06,-0.25,3857790692.39177,39.11
"29","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.5,-1.95,-7.06,-0.26,5.52,-1.94,-7.06,-0.25,3765709346.94251,38.18
"30","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.62,-1.6,-5.94,-0.21,4.63,-1.59,-5.94,-0.21,3000425128.4644,30.42
"31","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.61,-1.6,-5.93,-0.21,4.62,-1.59,-5.93,-0.21,2807936046.38028,28.47
"32","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.69,-2.01,-7.29,-0.27,5.7,-2.01,-7.29,-0.26,4273866411.11278,43.33
"33","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.68,-2.01,-7.28,-0.27,5.7,-2.01,-7.29,-0.26,4190903997.95929,42.49
"34","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15,3.38,-1.15,-4.38,-0.15,2792971088.71024,28.32
"35","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Atlantic Ocean",2.04,-0.74,-2.72,-0.1,2.28,-0.76,-2.98,-0.1,2069261295.13097,20.98
"36","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15,3.38,-1.15,-4.38,-0.15,2803970030.66679,28.43
"37","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",3.83,-1.39,-5.03,-0.18,4.09,-1.41,-5.28,-0.18,3003727897.86604,30.46
"38","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",5.97,-2.15,-7.66,-0.28,6.09,-2.18,-7.8,-0.29,6231528611.09727,63.18
"39","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",0.9,-0.31,-1.21,-0.04,1.01,-0.33,-1.32,-0.04,989839149.18228,10.04
"40","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",3.3,-1.2,-4.36,-0.16,3.55,-1.21,-4.6,-0.16,2030424903.15285,20.59
"41","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",5.97,-2.15,-7.66,-0.28,6.09,-2.18,-7.8,-0.29,6231528611.09727,63.18
"42","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Atlantic Ocean",2.69,-0.98,-3.57,-0.13,2.99,-1.01,-3.89,-0.13,2538141816.78333,25.73
"43","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Atlantic Ocean",3.34,-1.21,-4.4,-0.16,3.61,-1.23,-4.68,-0.16,2715513462.63751,27.53
"44","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Atlantic Ocean",2.88,-1.05,-3.82,-0.14,3.17,-1.07,-4.12,-0.14,2535918674.88995,25.71
"45","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Atlantic Ocean",2.38,-0.87,-3.17,-0.11,2.65,-0.89,-3.45,-0.12,2114413110.94752,21.44
"46","Ambitious Reform","All subsidies","Ambitious Reform","Indian Ocean",6.83,1.08,-5.39,0.14,6.86,1.08,-5.41,0.14,1504925255.70165,70.95
