Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2064,biomass,Total,atlantic,117479477.19417974,120119834.27434592,0.022475049627621143,Effective,Fuel subsidies
2065,biomass,Total,atlantic,117481683.54082459,120122917.77498543,0.022482093842679896,Effective,Fuel subsidies
2066,biomass,Total,atlantic,117483885.63043855,120125996.68854052,0.022489135798700807,Effective,Fuel subsidies
2067,biomass,Total,atlantic,117486083.52637501,120129070.91134545,0.022496174062837875,Effective,Fuel subsidies
2068,biomass,Total,atlantic,117488277.28519225,120132140.35344726,0.02250320737819031,Effective,Fuel subsidies
2069,biomass,Total,atlantic,117490466.95747913,120135204.93682796,0.02251023464147077,Effective,Fuel subsidies
2070,biomass,Total,atlantic,117492652.58859414,120138264.59393229,0.02251725488402988,Effective,Fuel subsidies
2071,biomass,Total,atlantic,117494834.2193154,120141319.26641604,0.02252426725553508,Effective,Fuel subsidies
2072,biomass,Total,atlantic,117497011.88640699,120144368.90406288,0.022531271009813333,Effective,Fuel subsidies
2073,biomass,Total,atlantic,117499185.62311067,120147413.46383539,0.022538265492487355,Effective,Fuel subsidies
2074,biomass,Total,atlantic,117501355.45957263,120150452.90903834,0.022545250130132772,Effective,Fuel subsidies
2075,biomass,Total,atlantic,117503521.42321445,120153487.20857812,0.022552224420740948,Effective,Fuel subsidies
2076,biomass,Total,atlantic,117505683.53905632,120156516.33630629,0.022559187925313366,Effective,Fuel subsidies
2077,biomass,Total,atlantic,117507841.82999945,120159540.2704377,0.02256614026044757,Effective,Fuel subsidies
2078,biomass,Total,atlantic,117509996.31707339,120162558.99303491,0.022573081091792402,Effective,Fuel subsidies
2079,biomass,Total,atlantic,117512147.01965329,120165572.48955184,0.022580010128270232,Effective,Fuel subsidies
2080,biomass,Total,atlantic,117514293.95565096,120168580.74843013,0.022586927116975967,Effective,Fuel subsidies
2081,biomass,Total,atlantic,117516437.14168328,120171583.76074247,0.022593831838673105,Effective,Fuel subsidies
2082,biomass,Total,atlantic,117518576.59322065,120174581.51987758,0.022600724103819258,Effective,Fuel subsidies
2083,biomass,Total,atlantic,117520712.32471825,120177574.0212624,0.02260760374905705,Effective,Fuel subsidies
2084,biomass,Total,atlantic,117522844.34973186,120180561.26211682,0.022614470634117364,Effective,Fuel subsidies
2085,biomass,Total,atlantic,117524972.68102027,120183543.24123774,0.022621324639089377,Effective,Fuel subsidies
2086,biomass,Total,atlantic,117527097.33063585,120186519.95880847,0.022628165662008468,Effective,Fuel subsidies
2087,biomass,Total,atlantic,117529218.3100046,120189491.41623086,0.022634993616730253,Effective,Fuel subsidies
2088,biomass,Total,atlantic,117531335.62999706,120192457.61597751,0.022641808431055246,Effective,Fuel subsidies
2089,biomass,Total,atlantic,117533449.3009908,120195418.56146137,0.0226486100450736,Effective,Fuel subsidies
2090,biomass,Total,atlantic,117535559.33292596,120198374.25692113,0.022655398409706776,Effective,Fuel subsidies
2091,biomass,Total,atlantic,117537665.73535421,120201324.7073199,0.022662173485418147,Effective,Fuel subsidies
2092,biomass,Total,atlantic,117539768.51748207,120204269.9182563,0.02266893524107907,Effective,Fuel subsidies
2093,biomass,Total,atlantic,117541867.6882093,120207209.895886,0.022675683652966756,Effective,Fuel subsidies
2094,biomass,Total,atlantic,117543963.25616279,120210144.64685261,0.022682418703880422,Effective,Fuel subsidies
2095,biomass,Total,atlantic,117546055.22972654,120213074.17822675,0.022689140382362628,Effective,Fuel subsidies
2096,biomass,Total,atlantic,117548143.61706817,120215998.49745248,0.022695848682011296,Effective,Fuel subsidies
2097,biomass,Total,atlantic,117550228.42616245,120218917.61230005,0.02270254360087358,Effective,Fuel subsidies
2098,biomass,Total,atlantic,117552309.66481197,120221831.53082433,0.022709225140911525,Effective,Fuel subsidies
2099,biomass,Total,atlantic,117554387.3406656,120224740.26132822,0.0227158933075301,Effective,Fuel subsidies
2100,biomass,Total,atlantic,117556461.46123455,120227643.81233025,0.022722548109161494,Effective,Fuel subsidies
2019,price,Total,atlantic,1282.9673631675284,1282.9673631675284,0,Effective,Fuel subsidies
2020,price,Total,atlantic,1291.7465158494424,1302.9622896560309,0.008682642971336411,Effective,Fuel subsidies
2021,price,Total,atlantic,1295.836277241058,1314.267460673811,0.014223388985524055,Effective,Fuel subsidies
2022,price,Total,atlantic,1294.9051959442377,1315.462618915534,0.015875620111560337,Effective,Fuel subsidies
2023,price,Total,atlantic,1291.223051436624,1310.8267522814851,0.015182272979908394,Effective,Fuel subsidies
2024,price,Total,atlantic,1286.6975319688445,1304.072102015774,0.01350322792672468,Effective,Fuel subsidies
2025,price,Total,atlantic,1282.4165258981807,1297.3370752672147,0.011634713891872168,Effective,Fuel subsidies
2026,price,Total,atlantic,1278.8453166758281,1291.5704777701092,0.009950508422205604,Effective,Fuel subsidies
2027,price,Total,atlantic,1276.086781271558,1287.036944819297,0.008581049273802339,Effective,Fuel subsidies
2028,price,Total,atlantic,1274.0683628335903,1283.669161350046,0.0075355442427774855,Effective,Fuel subsidies
2029,price,Total,atlantic,1272.652622147467,1281.2708512769057,0.006771862941590776,Effective,Fuel subsidies
2030,price,Total,atlantic,1271.6945948610282,1279.6208146972735,0.0062328013882228485,Effective,Fuel subsidies
2031,price,Total,atlantic,1271.0672287469934,1278.519597441563,0.005863079879666311,Effective,Fuel subsidies
2032,price,Total,atlantic,1270.6694578817132,1277.805564622557,0.005616021300094981,Effective,Fuel subsidies
2033,price,Total,atlantic,1270.42578234828,1277.3560420892175,0.0054550685582965075,Effective,Fuel subsidies
2034,price,Total,atlantic,1270.282356415036,1277.0821513298113,0.005352979107704436,Effective,Fuel subsidies
2035,price,Total,atlantic,1270.2021947999335,1276.9217966762585,0.005290182857370495,Effective,Fuel subsidies
2036,price,Total,atlantic,1270.1607148906917,1276.8329053869575,0.005253028548312474,Effective,Fuel subsidies
2037,price,Total,atlantic,1270.1420720095434,1276.7877484108085,0.005232230746242953,Effective,Fuel subsidies
2038,price,Total,atlantic,1270.136360904481,1276.7685265430973,0.005221617019052497,Effective,Fuel subsidies
2039,price,Total,atlantic,1270.1375865161756,1276.7641153393924,0.00521717402395167,Effective,Fuel subsidies
2040,price,Total,atlantic,1270.1422508552816,1276.7677576152207,0.005216350180838109,Effective,Fuel subsidies
2041,price,Total,atlantic,1270.1484021138954,1276.7754797987252,0.005217561722551828,Effective,Fuel subsidies
2042,price,Total,atlantic,1270.155014487605,1276.7850355085359,0.005219851864778451,Effective,Fuel subsidies
2043,price,Total,atlantic,1270.161595769215,1276.7952192466034,0.005222661037370708,Effective,Fuel subsidies
2044,price,Total,atlantic,1270.16794671969,1276.8054320240758,0.005225675330201511,Effective,Fuel subsidies
2045,price,Total,atlantic,1270.1740185211142,1276.8154138147572,0.005228728659853761,Effective,Fuel subsidies
2046,price,Total,atlantic,1270.1798317169068,1276.825083633521,0.0052317410107447,Effective,Fuel subsidies
2047,price,Total,atlantic,1270.1854324842777,1276.8344472547926,0.005234680386398776,Effective,Fuel subsidies
2048,price,Total,atlantic,1270.1908707711088,1276.8435462815964,0.005237540013532678,Effective,Fuel subsidies
2049,price,Total,atlantic,1270.1961906907611,1276.8524317216832,0.0052403251400889765,Effective,Fuel subsidies
2050,price,Total,atlantic,1270.2014274015637,1276.8611515595117,0.005243045720371822,Effective,Fuel subsidies
2051,price,Total,atlantic,1270.206607130185,1276.8697459474204,0.00524571261071431,Effective,Fuel subsidies
2052,price,Total,atlantic,1270.211748494514,1276.878246270241,0.0052483357862406505,Effective,Fuel subsidies
2053,price,Total,atlantic,1270.2168641715102,1276.886675967729,0.00525092366850998,Effective,Fuel subsidies
2054,price,Total,atlantic,1270.2219624638262,1276.8950519803104,0.005253483023975217,Effective,Fuel subsidies
2055,price,Total,atlantic,1270.2270485949841,1276.903386254638,0.005256019124327948,Effective,Fuel subsidies
2056,price,Total,atlantic,1270.232125702196,1276.9116870640974,0.005258536000424926,Effective,Fuel subsidies
2057,price,Total,atlantic,1270.2371955581898,1276.9199600674801,0.005261036704529566,Effective,Fuel subsidies
2058,price,Total,atlantic,1270.242259074671,1276.9282091103141,0.005263523542756038,Effective,Fuel subsidies
2059,price,Total,atlantic,1270.247316641187,1276.9364368067804,0.00526599826503159,Effective,Fuel subsidies
2060,price,Total,atlantic,1270.2523683457648,1276.9446449488707,0.00526846221260836,Effective,Fuel subsidies
2061,price,Total,atlantic,1270.257414113871,1276.9528347865057,0.0052709164286244255,Effective,Fuel subsidies
2062,price,Total,atlantic,1270.2624537928189,1276.961007215008,0.00527336173889758,Effective,Fuel subsidies
2063,price,Total,atlantic,1270.2674872008845,1276.9691628981052,0.005275798809893401,Effective,Fuel subsidies
2064,price,Total,atlantic,1270.2725141543033,1276.9773023472617,0.005278228189816564,Effective,Fuel subsidies
2065,price,Total,atlantic,1270.2775344808797,1276.9854259721294,0.005280650337558717,Effective,Fuel subsidies
2066,price,Total,atlantic,1270.282548025815,1276.9935341123005,0.005283065643084871,Effective,Fuel subsidies
2067,price,Total,atlantic,1270.287554653243,1277.0016270572055,0.005285474441883589,Effective,Fuel subsidies
2068,price,Total,atlantic,1270.2925542455662,1277.009705058637,0.005287877025352072,Effective,Fuel subsidies
2069,price,Total,atlantic,1270.2975467018152,1277.0177683387717,0.005290273648409986,Effective,Fuel subsidies
2070,price,Total,atlantic,1270.3025319356836,1277.0258170954726,0.0052926645352300485,Effective,Fuel subsidies
2071,price,Total,atlantic,1270.3075098735915,1277.0338515059825,0.0052950498836776775,Effective,Fuel subsidies
2072,price,Total,atlantic,1270.3124804529214,1277.0418717296495,0.005297429868853092,Effective,Fuel subsidies
2073,price,Total,atlantic,1270.3174436204788,1277.049877910078,0.005299804646003631,Effective,Fuel subsidies
2074,price,Total,atlantic,1270.3223993311842,1277.0578701769102,0.005302174352961257,Effective,Fuel subsidies
2075,price,Total,atlantic,1270.3273475469623,1277.065848647367,0.005304539112235011,Effective,Fuel subsidies
2076,price,Total,atlantic,1270.3322882358116,1277.0738134276069,0.0053068990328173585,Effective,Fuel subsidies
2077,price,Total,atlantic,1270.3372213710163,1277.0817646139453,0.005309254211767438,Effective,Fuel subsidies
2078,price,Total,atlantic,1270.3421469304737,1277.089702293947,0.005311604735604065,Effective,Fuel subsidies
2079,price,Total,atlantic,1270.347064896126,1277.0976265474112,0.005313950681530567,Effective,Fuel subsidies
2080,price,Total,atlantic,1270.3519752534658,1277.1055374472537,0.005316292118521293,Effective,Fuel subsidies
2081,price,Total,atlantic,1270.356877991108,1277.1134350602981,0.005318629108282348,Effective,Fuel subsidies
2082,price,Total,atlantic,1270.3617731004201,1277.1213194479806,0.005320961706099852,Effective,Fuel subsidies
2083,price,Total,atlantic,1270.366660575198,1277.1291906669762,0.005323289961589728,Effective,Fuel subsidies
2084,price,Total,atlantic,1270.3715404113775,1277.1370487697577,0.005325613919365168,Effective,Fuel subsidies
2085,price,Total,atlantic,1270.376412606786,1277.1448938050862,0.0053279336196201624,Effective,Fuel subsidies
2086,price,Total,atlantic,1270.3812771609198,1277.152725818448,0.005330249098649547,Effective,Fuel subsidies
2087,price,Total,atlantic,1270.3861340747487,1277.16054485244,0.005332560389306462,Effective,Fuel subsidies
2088,price,Total,atlantic,1270.3909833505438,1277.1683509471093,0.0053348675214072655,Effective,Fuel subsidies
2089,price,Total,atlantic,1270.3958249917255,1277.1761441402527,0.005337170522086242,Effective,Fuel subsidies
2090,price,Total,atlantic,1270.4006590027266,1277.18392446768,0.005339469416111932,Effective,Fuel subsidies
2091,price,Total,atlantic,1270.405485388875,1277.1916919634466,0.005341764226163114,Effective,Fuel subsidies
2092,price,Total,atlantic,1270.4103041562862,1277.1994466600595,0.0053440549730759184,Effective,Fuel subsidies
2093,price,Total,atlantic,1270.4151153117723,1277.2071885886573,0.005346341676057756,Effective,Fuel subsidies
2094,price,Total,atlantic,1270.4199188627563,1277.214917779168,0.005348624352878853,Effective,Fuel subsidies
2095,price,Total,atlantic,1270.4247148172012,1277.2226342604492,0.005350903020039372,Effective,Fuel subsidies
2096,price,Total,atlantic,1270.4295031835452,1277.2303380604135,0.005353177692918978,Effective,Fuel subsidies
2097,price,Total,atlantic,1270.4342839706428,1277.2380292061337,0.005355448385906494,Effective,Fuel subsidies
2098,price,Total,atlantic,1270.439057187718,1277.2457077239424,0.005357715112515377,Effective,Fuel subsidies
2099,price,Total,atlantic,1270.443822844314,1277.2533736395123,0.005359977885486497,Effective,Fuel subsidies
2100,price,Total,atlantic,1270.4485809502592,1277.2610269779327,0.005362236716875267,Effective,Fuel subsidies
2019,catches_fleet,affected_managed,atlantic,15781560.779862698,15781560.779862698,0,Effective,Fuel subsidies
2020,catches_fleet,affected_managed,atlantic,15860689.535023311,15859099.49022799,-1.0025067269680742e-4,Effective,Fuel subsidies
2021,catches_fleet,affected_managed,atlantic,15936883.754756782,15934024.438782701,-1.794149984451946e-4,Effective,Fuel subsidies
2022,catches_fleet,affected_managed,atlantic,16039049.989472974,16071602.373499569,0.0020295705822950738,Effective,Fuel subsidies
2023,catches_fleet,affected_managed,atlantic,16150142.15039123,16239262.539398992,0.00551824177012604,Effective,Fuel subsidies
2024,catches_fleet,affected_managed,atlantic,16253032.45409621,16402694.79120178,0.009208271596593738,Effective,Fuel subsidies
2025,catches_fleet,affected_managed,atlantic,16338811.02217114,16543007.034492988,0.012497605367046737,Effective,Fuel subsidies
2026,catches_fleet,affected_managed,atlantic,16405258.312370049,16653994.87270029,0.015162002060198418,Effective,Fuel subsidies
2027,catches_fleet,affected_managed,atlantic,16453940.86332764,16736771.288853975,0.017189220982111657,Effective,Fuel subsidies
2028,catches_fleet,affected_managed,atlantic,16488004.092825897,16795708.97128635,0.018662348500649486,Effective,Fuel subsidies
2029,catches_fleet,affected_managed,atlantic,16510867.035778284,16836026.240730822,0.019693648083285577,Effective,Fuel subsidies
2030,catches_fleet,affected_managed,atlantic,16525585.111261059,16862574.330081653,0.02039196897125047,Effective,Fuel subsidies
2031,catches_fleet,affected_managed,atlantic,16534620.572586076,16879358.434981685,0.020849457106211087,Effective,Fuel subsidies
2032,catches_fleet,affected_managed,atlantic,16539828.946491335,16889453.563378353,0.021138345385439156,Effective,Fuel subsidies
2033,catches_fleet,affected_managed,atlantic,16542541.383711819,16895103.073189553,0.021312426023299837,Effective,Fuel subsidies
2034,catches_fleet,affected_managed,atlantic,16543675.86613874,16897880.338690575,0.021410264285751286,Effective,Fuel subsidies
2035,catches_fleet,affected_managed,atlantic,16543844.211241538,16898853.24307306,0.021458678363901352,Effective,Fuel subsidies
2036,catches_fleet,affected_managed,atlantic,16543441.537540935,16898725.77378632,0.02147583593408683,Effective,Fuel subsidies
2037,catches_fleet,affected_managed,atlantic,16542715.22808429,16897949.427908693,0.02147375415260289,Effective,Fuel subsidies
2038,catches_fleet,affected_managed,atlantic,16541815.213148413,16896805.88159732,0.02146020033924334,Effective,Fuel subsidies
2039,catches_fleet,affected_managed,atlantic,16540829.103264155,16895465.758929282,0.02144007736559855,Effective,Fuel subsidies
2040,catches_fleet,affected_managed,atlantic,16539805.879361926,16894028.998493534,0.021416401239243155,Effective,Fuel subsidies
2041,catches_fleet,affected_managed,atlantic,16538771.36459138,16892551.77056002,0.021390972652664087,Effective,Fuel subsidies
2042,catches_fleet,affected_managed,atlantic,16537738.023140026,16891063.94304113,0.02136482748769644,Effective,Fuel subsidies
2043,catches_fleet,affected_managed,atlantic,16536710.973586293,16889580.116278786,0.02133853238749368,Effective,Fuel subsidies
2044,catches_fleet,affected_managed,atlantic,16535691.5537836,16888106.404023163,0.021312374453363956,Effective,Fuel subsidies
2045,catches_fleet,affected_managed,atlantic,16534679.349793421,16886644.47473737,0.02128648022124147,Effective,Fuel subsidies
2046,catches_fleet,affected_managed,atlantic,16533673.291728754,16885193.87465916,0.021260888414086344,Effective,Fuel subsidies
2047,catches_fleet,affected_managed,atlantic,16532672.202789351,16883753.303083748,0.02123559313267959,Effective,Fuel subsidies
2048,catches_fleet,affected_managed,atlantic,16531675.041509556,16882321.26857403,0.021210568571184245,Effective,Fuel subsidies
2049,catches_fleet,affected_managed,atlantic,16530680.981531452,16880896.393019058,0.021185782477979948,Effective,Fuel subsidies
2050,catches_fleet,affected_managed,atlantic,16529689.412456166,16879477.52503634,0.02116120296347403,Effective,Fuel subsidies
2051,catches_fleet,affected_managed,atlantic,16528699.907932796,16878063.757276926,0.02113680152039403,Effective,Fuel subsidies
2052,catches_fleet,affected_managed,atlantic,16527712.184900524,16876654.400819074,0.021112553995061626,Effective,Fuel subsidies
2053,catches_fleet,affected_managed,atlantic,16526726.06518461,16875248.94500537,0.02108844053239079,Effective,Fuel subsidies
2054,catches_fleet,affected_managed,atlantic,16525741.443740137,16873847.016676605,0.02106444507325439,Effective,Fuel subsidies
2055,catches_fleet,affected_managed,atlantic,16524758.264346782,16872448.34475346,0.021040554714609076,Effective,Fuel subsidies
2056,catches_fleet,affected_managed,atlantic,16523776.501993816,16871052.731923316,0.021016759085769273,Effective,Fuel subsidies
2057,catches_fleet,affected_managed,atlantic,16522796.150657525,16869660.033182964,0.02099304980601815,Effective,Fuel subsidies
2058,catches_fleet,affected_managed,atlantic,16521817.21514055,16868270.14018022,0.020969420041893512,Effective,Fuel subsidies
2059,catches_fleet,affected_managed,atlantic,16520839.705823695,16866882.97010652,0.02094586415972804,Effective,Fuel subsidies
2060,catches_fleet,affected_managed,atlantic,16519863.635424387,16865498.457986686,0.02092237745965029,Effective,Fuel subsidies
2061,catches_fleet,affected_managed,atlantic,16518889.017089328,16864116.551413033,0.020898955974978477,Effective,Fuel subsidies
2062,catches_fleet,affected_managed,atlantic,16517915.863344532,16862737.20698803,0.020875596321973187,Effective,Fuel subsidies
2063,catches_fleet,affected_managed,atlantic,16516944.185576888,16861360.38793357,0.02085229558730592,Effective,Fuel subsidies
2064,catches_fleet,affected_managed,atlantic,16515973.993831875,16859986.062481645,0.020829051243253766,Effective,Fuel subsidies
2065,catches_fleet,affected_managed,atlantic,16515005.296789728,16858614.202780016,0.020805861083016432,Effective,Fuel subsidies
2066,catches_fleet,affected_managed,atlantic,16514038.10183481,16857244.784133784,0.02078272317058798,Effective,Fuel subsidies
2067,catches_fleet,affected_managed,atlantic,16513072.415167406,16855877.78446437,0.020759635801154388,Effective,Fuel subsidies
2068,catches_fleet,affected_managed,atlantic,16512108.241929188,16854513.183909364,0.020736597469165504,Effective,Fuel subsidies
2069,catches_fleet,affected_managed,atlantic,16511145.58632682,16853150.964514527,0.020713606842091413,Effective,Fuel subsidies
2070,catches_fleet,affected_managed,atlantic,16510184.451746527,16851791.10998732,0.02069066273845624,Effective,Fuel subsidies
2071,catches_fleet,affected_managed,atlantic,16509224.840856617,16850433.60549293,0.020667764109184496,Effective,Fuel subsidies
2072,catches_fleet,affected_managed,atlantic,16508266.75569767,16849078.437481057,0.020644910021565988,Effective,Fuel subsidies
2073,catches_fleet,affected_managed,atlantic,16507310.197761085,16847725.593535963,0.020622099645346805,Effective,Fuel subsidies
2074,catches_fleet,affected_managed,atlantic,16506355.168057255,16846375.062245242,0.020599332240589737,Effective,Fuel subsidies
2075,catches_fleet,affected_managed,atlantic,16505401.667174736,16845026.833084032,0.020576607147024386,Effective,Fuel subsidies
2076,catches_fleet,affected_managed,atlantic,16504449.695331631,16843680.896312602,0.020553923774685075,Effective,Fuel subsidies
2077,catches_fleet,affected_managed,atlantic,16503499.252420368,16842337.242885515,0.020531281595656398,Effective,Fuel subsidies
2078,catches_fleet,affected_managed,atlantic,16502550.338046832,16840995.864371177,0.02050868013679404,Effective,Fuel subsidies
2079,catches_fleet,affected_managed,atlantic,16501602.951564565,16839656.75288049,0.020486118973300962,Effective,Fuel subsidies
2080,catches_fleet,affected_managed,atlantic,16500657.092104878,16838319.901003737,0.02046359772305197,Effective,Fuel subsidies
2081,catches_fleet,affected_managed,atlantic,16499712.75860326,16836985.30175475,0.020441116041588672,Effective,Fuel subsidies
2082,catches_fleet,affected_managed,atlantic,16498769.949822705,16835652.94852156,0.020418673617694335,Effective,Fuel subsidies
2083,catches_fleet,affected_managed,atlantic,16497828.664374223,16834322.835022856,0.020396270169496036,Effective,Fuel subsidies
2084,catches_fleet,affected_managed,atlantic,16496888.900735013,16832994.955269523,0.020373905441015288,Effective,Fuel subsidies
2085,catches_fleet,affected_managed,atlantic,16495950.657264464,16831669.303530738,0.02035157919913096,Effective,Fuel subsidies
2086,catches_fleet,affected_managed,atlantic,16495013.932218319,16830345.874304097,0.020329291230897523,Effective,Fuel subsidies
2087,catches_fleet,affected_managed,atlantic,16494078.723761197,16829024.662289254,0.020307041341177643,Effective,Fuel subsidies
2088,catches_fleet,affected_managed,atlantic,16493145.029977655,16827705.66236469,0.020284829350554114,Effective,Fuel subsidies
2089,catches_fleet,affected_managed,atlantic,16492212.848881966,16826388.869567297,0.020262655093490758,Effective,Fuel subsidies
2090,catches_fleet,affected_managed,atlantic,16491282.178426782,16825074.279074308,0.02024051841670498,Effective,Fuel subsidies
2091,catches_fleet,affected_managed,atlantic,16490353.016510775,16823761.886187457,0.0202184191777374,Effective,Fuel subsidies
2092,catches_fleet,affected_managed,atlantic,16489425.360985413,16822451.68631897,0.020196357243686038,Effective,Fuel subsidies
2093,catches_fleet,affected_managed,atlantic,16488499.209660923,16821143.67497925,0.020174332490092553,Effective,Fuel subsidies
2094,catches_fleet,affected_managed,atlantic,16487574.560311606,16819837.847766027,0.02015234479995832,Effective,Fuel subsidies
2095,catches_fleet,affected_managed,atlantic,16486651.410680491,16818534.200354785,0.020130394062877484,Effective,Fuel subsidies
2096,catches_fleet,affected_managed,atlantic,16485729.758483473,16817232.72849033,0.020108480174271165,Effective,Fuel subsidies
2097,catches_fleet,affected_managed,atlantic,16484809.601412978,16815933.42797938,0.020086603034712634,Effective,Fuel subsidies
2098,catches_fleet,affected_managed,atlantic,16483890.937141173,16814636.294684004,0.02006476254933249,Effective,Fuel subsidies
2099,catches_fleet,affected_managed,atlantic,16482973.763322849,16813341.32451588,0.020042958627292665,Effective,Fuel subsidies
2100,catches_fleet,affected_managed,atlantic,16482058.077597922,16812048.513431206,0.020021191181324675,Effective,Fuel subsidies
2019,catches_fleet,affected_oa,atlantic,10358001.056988906,10358001.056988906,0,Effective,Fuel subsidies
2020,catches_fleet,affected_oa,atlantic,10077725.28714754,9820672.063940693,-0.0255070679029797,Effective,Fuel subsidies
2021,catches_fleet,affected_oa,atlantic,9909701.028310196,9492210.042649064,-0.04212952383411338,Effective,Fuel subsidies
2022,catches_fleet,affected_oa,atlantic,9830658.045864671,9327959.444905588,-0.0511358037899148,Effective,Fuel subsidies
2023,catches_fleet,affected_oa,atlantic,9805768.285874624,9263214.179784974,-0.0553300965586968,Effective,Fuel subsidies
2024,catches_fleet,affected_oa,atlantic,9808933.515223738,9251128.54298623,-0.05686703568453982,Effective,Fuel subsidies
2025,catches_fleet,affected_oa,atlantic,9824046.698188176,9263288.647438174,-0.0570801491460155,Effective,Fuel subsidies
