pooled_commodity,ISSCAAP_group,ISSCAAP_division,group_for_pairing,Year,exvessel_price_USD/t
Alaska pollock,"Cods, hakes, haddocks",MARINE FISHES,"Cods, hakes, haddocks",2011,691.0785655
Alaska pollock,"Cods, hakes, haddocks",MARINE FISHES,"Cods, hakes, haddocks",2012,765.3157503
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1976,1033.96536
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1977,1032.379317
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1978,1029.601692
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1979,1106.798813
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1980,1337.783199
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1981,1452.438505
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1982,1259.258298
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1983,1067.582747
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1984,1193.307426
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1985,1176.303108
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1986,1019.61835
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1987,1171.570409
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1988,1299.597944
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1989,1175.446864
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1990,1147.879924
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1991,1106.74119
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1992,1471.96352
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1993,1401.847217
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1994,1406.869458
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1995,1500.819962
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1996,1355.275136
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1997,1411.346648
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1998,1254.940432
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",1999,1223.92193
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2000,1434.687048
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2001,1370.679566
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2002,1090.207755
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2003,1207.893209
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2004,1243.710272
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2005,1215.597789
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2006,1469.630394
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2007,1205.963869
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2008,1233.58718
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2009,1361.825143
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2010,1630.56068
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2011,1874.177419
Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,"Tunas, bonitos, billfishes",2012,1889.748845
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1976,359.7198031
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1977,462.5372905
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1978,915.7021204
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1979,1022.988251
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1980,1182.385137
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1981,837.690916
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1982,785.5669235
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1983,734.2102093
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1984,899.9520736
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1985,818.3542802
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1986,1120.091229
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1987,1362.179848
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1988,984.4569014
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1989,972.5568729
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1990,1871.696125
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1991,1647.800272
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1992,1760.663304
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1993,1971.942901
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1994,3546.253053
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1995,3598.804938
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1996,3428.199003
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1997,766.6011762
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1998,2733.703428
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,1999,1434.697144
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2000,1549.901702
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2001,2106.390719
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2002,1451.722857
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2003,1303.972481
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2004,919.217828
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2005,1079.010568
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2006,1008.115296
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2007,1047.177627
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2008,4301.000037
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2009,5102.985973
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2010,5210.362439
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2011,4992.781711
Amberjacks,Miscellaneous pelagic fishes,MARINE FISHES,Miscellaneous pelagic fishes,2012,5865.132777
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1976,5401.30889
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1977,5304.394332
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1978,5772.303091
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1979,7003.401866
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1980,7671.464558
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1981,7353.174104
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1982,6337.109755
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1983,8351.242479
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1984,7428.055076
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1985,6274.850123
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1986,8424.984838
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1987,9394.103929
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1988,5953.872462
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1989,5923.745647
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1990,6943.020063
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1991,6931.186463
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1992,7158.860622
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1993,6805.035922
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1994,7948.859501
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1995,7925.432753
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1996,7817.314515
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1997,7989.843297
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1998,7898.404283
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",1999,7918.679725
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2000,7799.726187
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2001,7739.246281
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2002,7973.953727
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2003,8409.005736
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2004,8598.718108
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2005,9068.543763
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2006,8637.060697
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2007,8777.801645
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2008,9338.70153
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2009,9178.723669
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2010,9215.115983
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2011,8526.945051
American/European lobsters (Homarus spp.),"Lobsters, spiny-rock lobsters",CRUSTACEANS,"Lobsters, spiny-rock lobsters",2012,8095.941364
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1976,409.2745095
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1977,572.5296145
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1978,666.3283566
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1979,503.3398142
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1980,689.7163498
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1981,675.2947963
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1982,663.5915753
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1983,624.2206218
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1984,626.7738486
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1985,436.2377652
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1986,708.6271265
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1987,755.3635928
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1988,812.6098057
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1989,865.3257998
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1990,996.7815235
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1991,1079.723033
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1992,969.2084647
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1993,859.1680652
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1994,748.8162842
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1995,797.3384602
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1996,986.5269905
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1997,810.3434549
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1998,859.4697796
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",1999,1087.008255
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2000,898.4528102
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2001,811.9403576
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2002,950.8967395
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2003,839.8503007
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2004,918.4442062
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2005,798.7284535
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2006,908.2743476
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2007,1057.122375
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2008,1041.614743
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2009,1114.633517
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2010,1023.211172
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2011,1026.405239
Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,"Herrings, sardines, anchovies",2012,1176.675211
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1976,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1977,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1978,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1979,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1980,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1981,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1982,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1983,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1984,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1985,NA
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1986,2831.485818
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1987,2781.446629
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1988,3482.589143
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1989,3157.778466
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1990,3763.546446
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1991,4088.266533
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1992,4431.655006
Angler (=Monk),Miscellaneous demersal fishes,MARINE FISHES,Miscellaneous demersal fishes,1993,4093.647421
