Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2048,biomass,Total,atlantic,121194807.86859423,126318103.60567246,0.04227322793096203,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2049,biomass,Total,atlantic,121194174.04665166,126321523.79415262,0.042306899550528465,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2050,biomass,Total,atlantic,121193661.56766857,126324225.81759909,0.042333602133688,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2051,biomass,Total,atlantic,121193249.14470516,126326357.52198742,0.042354738514793946,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2052,biomass,Total,atlantic,121192918.60567842,126328036.81940241,0.042371437810091526,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2053,biomass,Total,atlantic,121192654.64933646,126329357.64148323,0.042384606616708835,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2054,biomass,Total,atlantic,121192444.53393683,126330394.73559897,0.042394971249411405,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2055,biomass,Total,atlantic,121192277.74589486,126331207.5213424,0.042403112401454994,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2056,biomass,Total,atlantic,121192145.67671797,126331843.18617941,0.04240949345984578,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2057,biomass,Total,atlantic,121192041.32397932,126332339.16657247,0.04241448354559631,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2058,biomass,Total,atlantic,121191959.02393392,126332725.13382915,0.04241837619672433,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2059,biomass,Total,atlantic,121191894.21825045,126333024.58154523,0.04242140447145986,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2060,biomass,Total,atlantic,121191843.25424072,126333256.09310998,0.04242375312407299,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2061,biomass,Total,atlantic,121191803.21623218,126333434.35267642,0.04242556839649021,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2062,biomass,Total,atlantic,121191771.78487301,126333570.95071732,0.04242696587497286,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2063,biomass,Total,atlantic,121191747.1208599,126333675.02530523,0.042428036781394625,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2064,biomass,Total,atlantic,121191727.7696166,126333753.77216624,0.04242885300162183,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2065,biomass,Total,atlantic,121191712.58368033,126333812.85001694,0.042429471097589225,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2066,biomass,Total,atlantic,121191700.65987846,126333856.70242137,0.04242993550337444,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2067,biomass,Total,atlantic,121191691.28873849,126333888.81315683,0.042430281067429645,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2068,biomass,Total,atlantic,121191683.91393381,126333911.90866628,0.042430535071897375,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2069,biomass,Total,atlantic,121191678.09990585,126333928.11843538,0.042430718834427374,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
