"","Id","Name","Category","Year","Biomass","Catches"
"36","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2080,12693153.9316362,824717.906306326
"37","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2050,12678704.1489997,823011.063040242
"38","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2080,12693153.9316362,824717.906306326
"39","RD/TN/RL/77/Rev.2","Australia - Overfished (RD/TN/RL/77/Rev.2)","Overfished",2050,1234253.98227149,-77777.8944794238
"40","RD/TN/RL/77/Rev.2","Australia - Overfished (RD/TN/RL/77/Rev.2)","Overfished",2080,1426978.14270258,-69415.5558694303
"41","RD/TN/RL/79/Rev.1","New Zealand/Iceland - Overfishing and overcapacity (RD/TN/RL/79/Rev.1)","OFOC",2050,5044519.50378764,196307.235656142
"42","RD/TN/RL/79/Rev.1","New Zealand/Iceland - Overfishing and overcapacity (RD/TN/RL/79/Rev.1)","OFOC",2080,5668946.98558891,251796.126668528
"43","RD/TN/RL/81","Philippines - De minimis (RD/TN/RL/81)","OFOC",2050,945689.090673149,86484.6858706474
"44","RD/TN/RL/81","Philippines - De minimis (RD/TN/RL/81)","OFOC",2080,946409.042256594,86577.7781762332
"45","RD/TN/RL/87","Latin 6 and others - IUU (RD/TN/RL/87)","IUU",2050,17597.1474816203,-649.331361070275
"46","RD/TN/RL/87","Latin 6 and others - IUU (RD/TN/RL/87)","IUU",2080,17826.7000909448,-594.593987524509
"47","RD/TN/RL/89/Rev.2","ACP - IUU (RD/TN/RL/89/Rev.2)","IUU",2050,136.449418723583,19.1343886107206
"48","RD/TN/RL/89/Rev.2","ACP - IUU (RD/TN/RL/89/Rev.2)","IUU",2080,261.747529149055,40.8434853702784
"49","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2050,14242933.9797752,304749.461263165
"50","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2080,14934580.4995931,365253.818256557
"51","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2050,952966.790986717,-62718.7356637269
"52","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2080,1114681.62260741,-58730.672700271
"53","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2050,6154991.28738976,199685.345578969
"54","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2080,6589412.46174663,240237.258032784
"55","RD/TN/RL/96 Rev.2","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2)","OFOC",2050,14468033.5414411,1728774.57417943
"56","RD/TN/RL/96 Rev.2","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2)","OFOC",2080,14646439.1395028,1725323.55033058
"57","TN/RL/GEN/197/Rev.2","US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2)","OFOC",2050,17184517.3199302,1797480.90673327
"58","TN/RL/GEN/197/Rev.2","US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2)","OFOC",2080,17190412.4128646,1797831.56338115
"59","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2050,3601378.69149119,342801.914871648
"60","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2080,3703334.92220575,353860.709041685
"61","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2050,8094695.2590425,308705.513673365
"62","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2080,8774225.79969454,373643.796777859
"63","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2050,48673.9658893347,-3904.35526618361
"64","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2080,92757.975912869,-5931.01784048975
