"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,143741988.94,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,106187439,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,142579137,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,16456782,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,2566000,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,8264000,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,5388872,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,19953076,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,9524246.21,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,37682540.94,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,4336000,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,18817000,,
"AUS","Australia","IFINP","Transfers based on input use","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,1224246.21,,
"AUS","Australia","IFINP","Transfers based on input use","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2722540.94,,
"AUS","Australia","IFINP","Transfers based on input use","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,1957000,,
"AUS","Australia","IFINP","Transfers based on input use","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,2650000,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,1224246.21,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2722540.94,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,1150000,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,1150000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,16456782,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,2566000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,8264000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,5388872,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,19953076,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,8300000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,34960000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,2247000,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,15872000,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,115836623,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,112281992,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,115079128,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,136216741,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,159041993,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,166843537,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,167035794,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,167989439,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,190048705,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,837232,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,867398,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,1158096,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,1326847,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,1700693,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,3907404,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2931373,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,3109807,,
"AUS","Australia","GSCOM","Support to fishing communities","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,2781073,,
"AUS","Australia","GSEDU","Education and training","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,1000000,,
"AUS","Australia","GSEDU","Education and training","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,424500,,
"AUS","Australia","GSEDU","Education and training","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,820000,,
"AUS","Australia","GSEDU","Education and training","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,900000,,
"AUS","Australia","GSEDU","Education and training","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,9450000,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,49934458,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,43506313,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,48286375,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,47336768,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,52882986,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,61184861,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,61887065,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,63842989,,
"AUS","Australia","GSRND","Research and development","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,66673515,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,64651647,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,67391145,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,65366546,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,87129628,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,103052584,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,100972027,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,100102708,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,99064878,,
"AUS","Australia","GSMNG","Management of resources","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,110279865,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,42461647,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,44941145,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,43386546,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,62629628,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,65362584,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,69172027,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,69102708,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,69133198,,
"AUS","Australia","GSMNG_EXP","Management expenditures","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,74548455,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,22190000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,22450000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,21980000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,24500000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,37690000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,31800000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,31000000,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,29931680,,
"AUS","Australia","GSMNG_ENF","Enforcement expenditures","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,35731410,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,413286,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,517136,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,268111,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,423498,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,405730,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,354745,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,1244648,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,1071765,,
"AUS","Australia","GSMSC","Miscellaneous transfers to general services","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,824252,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,-40049224,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,-39755880,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,-44633639,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,-52324332,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,-55166104,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,-58807191,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,-60976346,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,-66138000,,
"AUS","Australia","FCRC","COST RECOVERY CHARGES","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,-66286568,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,-40049224,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,-39755880,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,-44633639,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,-52324332,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,-55166104,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,-58807191,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,-60976346,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,-66138000,,
"AUS","Australia","FCRMG","Cost Recovery Charges, for management, research and enforcement","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,-66286568,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,71944423.939,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,68880746.101,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,81211765.445,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,92427029.573,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,119479274.032,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,105963511.783,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,108005198.27,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,78929971.922,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,109265820.665,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,71944423.939,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,68880746.101,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,81211765.445,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,92427029.573,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,119479274.032,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,105963511.783,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,108005198.27,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,78929971.922,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,109265820.665,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,12835212.889,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,2353749.146,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,8526723.247,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,5578744.235,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,19252192.209,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,8584701.357,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,28313997.431,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,3222983.448,,
"AUS","Australia","TIFB","TRANSFERS TO INDIVIDUAL FISHERS - Budgetary","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,14420447.414,,
"AUS","Australia","IFINP","Transfers based on input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.154,,
"AUS","Australia","IFINP","Transfers based on input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.301,,
"AUS","Australia","IFINP","Transfers based on input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1454653.738,,
"AUS","Australia","IFINP","Transfers based on input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,2030833.058,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.154,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.301,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,854804.189,,
"AUS","Australia","IFINP_VAR","Transfers based on variable input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,881304.912,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,12835212.889,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,2353749.146,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,8526723.247,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,5578744.235,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,19252192.209,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,7481224.203,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,26268328.13,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1670213.055,,
"AUS","Australia","IFRPC","Transfers based on the reduction of productive capacity","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,12163540.488,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,90344984.609,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,102994404.827,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,118737642.303,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,141016219.836,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,153455387.956,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,150384808.094,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,125507753.039,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,124867892.364,,
"AUS","Australia","GSSE","GENERAL SERVICE SUPPORT ESTIMATE","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,145644223.658,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2009","2009","USD","US Dollar","0","Units",,,652986.164,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,795649.767,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,1194913.37,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,1373597.304,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,1640953.431,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,3521947.636,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2202582.032,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,2311544.393,,
"AUS","Australia","GSCOM","Support to fishing communities","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,2131281.126,,
"AUS","Australia","GSEDU","Education and training","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,964873.396,,
"AUS","Australia","GSEDU","Education and training","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,382624.057,,
"AUS","Australia","GSEDU","Education and training","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,616133.555,,
